a,K,t,y
20,9.47661145797728,12.485675306957708,1.0389857531159243
20,9.47661145797728,12.565711687130513,1.0406657512376647
20,9.47661145797728,12.64574806730332,1.0421609919601755
20,9.47661145797728,12.725784447476125,1.0434735964970299
20,9.47661145797728,12.80582082764893,1.0446061662982593
20,9.47661145797728,12.885857207821736,1.04556175775188
20,9.47661145797728,12.965893587994541,1.0463438564129084
20,9.47661145797728,13.045929968167348,1.046956350855538
20,9.47661145797728,13.125966348340153,1.0474035062418419
20,9.47661145797728,13.20600272851296,1.047689937697851
20,9.47661145797728,13.286039108685765,1.0478205835851626
20,9.47661145797728,13.366075488858572,1.0478006787533651
20,9.47661145797728,13.446111869031377,1.0476357278555335
20,9.47661145797728,13.526148249204184,1.0473314788058938
20,9.47661145797728,13.606184629376989,1.0468938964554533
20,9.47661145797728,13.686221009549794,1.0463291365579845
20,9.47661145797728,13.7662573897226,1.045643520095263
20,9.47661145797728,13.846293769895405,1.0448435080268519
20,9.47661145797728,13.926330150068212,1.0439356765260892
20,9.47661145797728,14.006366530241017,1.0429266927602072
20,9.47661145797728,14.086402910413824,1.04182329126877
20,9.47661145797728,14.166439290586629,1.0406322509908212
20,9.47661145797728,14.246475670759436,1.039360372987347
20,9.47661145797728,14.32651205093224,1.0380144589018356
20,9.47661145797728,14.406548431105048,1.0366012901979358
20,9.47661145797728,14.486584811277853,1.0351276082094245
20,9.47661145797728,14.566621191450658,1.0336000950339457
20,9.47661145797728,14.646657571623464,1.0320253552982745
20,9.47661145797728,14.72669395179627,1.0304098988192005
20,9.47661145797728,14.806730331969076,1.028760124180512
20,9.47661145797728,14.886766712141881,1.027082303243045
20,9.47661145797728,14.966803092314688,1.0253825666012852
20,9.47661145797728,15.046839472487493,1.02366688999665
20,9.47661145797728,15.1268758526603,1.021941081694285
20,9.47661145797728,15.206912232833105,1.020210770827032
20,9.47661145797728,15.286948613005912,1.0184813967071347
20,9.47661145797728,15.366984993178717,1.016758199103286
20,9.47661145797728,15.447021373351522,1.0150462094777581
20,9.47661145797728,15.527057753524328,1.0133502431756212
20,9.47661145797728,15.607094133697133,1.0116748925554393
20,9.47661145797728,15.68713051386994,1.0100245210483492
20,9.47661145797728,15.767166894042745,1.0084032581300688
20,9.47661145797728,15.847203274215552,1.0068149951881527
20,9.47661145797728,15.927239654388357,1.005263382264728
20,9.47661145797728,16.007276034561162,1.0037518256529854
20,9.47661145797728,16.08731241473397,1.0022834863238805
20,9.47661145797728,16.167348794906776,1.0008612791578264
20,9.47661145797728,16.24738517507958,0.9994878729546075
20,9.47661145797728,16.327421555252386,0.9981656911933472
20,9.47661145797728,16.407457935425192,0.9968969135130867
20,9.47661145797728,16.487494315598,0.9956834778834059
20,9.47661145797728,16.567530695770802,0.9945270834335127
20,9.47661145797728,16.64756707594361,0.9934291939073616
20,9.47661145797728,16.727603456116416,0.9923910417116336
20,9.47661145797728,16.807639836289223,0.9914136325227901
20,9.47661145797728,16.887676216462026,0.990497750418936
20,9.47661145797728,16.967712596634833,0.9896439635018678
20,9.47661145797728,17.04774897680764,0.988852629974437
20,9.47661145797728,17.127785356980443,0.9881239046382293
20,9.47661145797728,17.20782173715325,0.9874577457765491
20,9.47661145797728,17.287858117326056,0.9868539223877865
20,9.47661145797728,17.367894497498863,0.9863120217344377
20,9.47661145797728,17.447930877671666,0.9858314571733472
20,9.47661145797728,17.527967257844473,0.9854114762331215
20,9.47661145797728,17.60800363801728,0.9850511689051481
20,9.47661145797728,17.688040018190087,0.9847494761152092
20,9.47661145797728,17.76807639836289,0.9845051983433296
20,9.47661145797728,17.848112778535697,0.9843170043602097
20,9.47661145797728,17.928149158708504,0.9841834400493894
20,9.47661145797728,18.008185538881307,0.9841029372851361
20,9.47661145797728,18.088221919054114,0.9840738228369751
20,9.47661145797728,18.16825829922692,0.9840943272727379
20,9.47661145797728,18.248294679399727,0.9841625938330392
20,9.47661145797728,18.32833105957253,0.9842766872511481
20,9.47661145797728,18.408367439745337,0.9844346024933373
20,9.47661145797728,18.488403819918144,0.984634273395927
20,9.47661145797728,18.56844020009095,0.9848735811764268
20,9.47661145797728,18.648476580263754,0.9851503627973685
20,9.47661145797728,18.72851296043656,0.9854624191626549
20,9.47661145797728,18.808549340609368,0.9858075231274855
20,9.47661145797728,18.88858572078217,0.9861834273041751
20,9.47661145797728,18.968622100954978,0.9865878716474388
20,9.47661145797728,19.048658481127784,0.9870185908039928
20,9.47661145797728,19.12869486130059,0.9874733212125771
20,9.47661145797728,19.208731241473394,0.9879498079417744
20,9.47661145797728,19.2887676216462,0.9884458112542559
20,9.47661145797728,19.368804001819008,0.988959112887328
20,9.47661145797728,19.448840381991815,0.9894875220408874
20,9.47661145797728,19.528876762164618,0.9900288810651041
20,9.47661145797728,19.608913142337425,0.9905810708413466
20,9.47661145797728,19.68894952251023,0.9911420158510315
20,9.47661145797728,19.768985902683035,0.9917096889282263
20,9.47661145797728,19.84902228285584,0.9922821156929486
20,9.47661145797728,19.92905866302865,0.9928573786631869
20,9.47661145797728,20.009095043201455,0.9934336210447217
20,9.47661145797728,20.08913142337426,0.9940090501988426
20,9.47661145797728,20.169167803547065,0.9945819407890312
20,9.47661145797728,20.249204183719872,0.9951506376086261
20,9.47661145797728,20.32924056389268,0.9957135580923788
20,9.47661145797728,20.409276944065482,0.9962691945156776
20,9.47661145797728,20.48931332423829,0.9968161158860207
20,9.47661145797728,20.569349704411096,0.9973529695321065
20,9.47661145797728,20.6493860845839,0.9978784823966208
20,9.47661145797728,20.729422464756706,0.9983914620395009
20,9.47661145797728,20.809458844929512,0.9988907973590819
20,9.47661145797728,20.88949522510232,0.9993754590391278
20,9.47661145797728,20.969531605275122,0.9998444997302991
20,9.47661145797728,21.04956798544793,1.0002970539751017
20,9.47661145797728,21.129604365620736,1.0007323378858282
20,9.47661145797728,21.209640745793543,1.001149648585398
20,9.47661145797728,21.289677125966346,1.0015483634213818
20,9.47661145797728,21.369713506139153,1.001927938963804
20,9.47661145797728,21.44974988631196,1.0022879097976019
20,9.47661145797728,21.529786266484763,1.002627887120844
20,9.47661145797728,21.60982264665757,1.0029475571600137
20,9.47661145797728,21.689859026830376,1.003246679413797
20,9.47661145797728,21.769895407003183,1.0035250847369368
20,9.47661145797728,21.849931787175986,1.0037826732757809
20,9.47661145797728,21.929968167348793,1.0040194122671753
20,11.263580930492251,0.0,0.0
20,11.263580930492251,0.08003638017280582,0.023146764959051748
20,11.263580930492251,0.16007276034561163,0.06595084137485989
20,11.263580930492251,0.24010914051841745,0.11390940825388324
20,11.263580930492251,0.32014552069122326,0.1637803024056699
20,11.263580930492251,0.40018190086402905,0.21470025338790633
20,11.263580930492251,0.4802182810368349,0.2663128916951231
20,11.263580930492251,0.5602546612096407,0.31837450106466936
20,11.263580930492251,0.6402910413824465,0.37067126679139006
20,11.263580930492251,0.7203274215552523,0.42300215492102594
20,11.263580930492251,0.8003638017280581,0.47517559011400184
20,11.263580930492251,0.880400181900864,0.5270090056146604
20,11.263580930492251,0.9604365620736698,0.5783289624940543
20,11.263580930492251,1.0404729422464756,0.6289713534700725
20,11.263580930492251,1.1205093224192815,0.6787815899983783
20,11.263580930492251,1.2005457025920871,0.7276147522405949
20,11.263580930492251,1.280582082764893,0.7753356986544709
20,11.263580930492251,1.360618462937699,0.8218191356370043
20,11.263580930492251,1.4406548431105046,0.8669496484946195
20,11.263580930492251,1.5206912232833105,0.9106216952510935
20,11.263580930492251,1.6007276034561162,0.9527395649056278
20,11.263580930492251,1.680763983628922,0.9932173018198006
20,11.263580930492251,1.760800363801728,1.0319785979642302
20,11.263580930492251,1.8408367439745337,1.0689566547982328
20,11.263580930492251,1.9208731241473396,1.1040940165897255
20,11.263580930492251,2.0009095043201452,1.1373423770085167
20,11.263580930492251,2.080945884492951,1.168662360844243
20,11.263580930492251,2.160982264665757,1.1980232827108392
20,11.263580930492251,2.241018644838563,1.2254028846028349
20,11.263580930492251,2.321055025011369,1.25078705416526
20,11.263580930492251,2.4010914051841743,1.2741695255288474
20,11.263580930492251,2.48112778535698,1.2955515645458142
20,11.263580930492251,2.561164165529786,1.314941640239163
20,11.263580930492251,2.641200545702592,1.3323550842504912
20,11.263580930492251,2.721236925875398,1.347813740038046
20,11.263580930492251,2.8012733060482033,1.361345603538618
20,11.263580930492251,2.8813096862210092,1.3729844569641154
20,11.263580930492251,2.961346066393815,1.382769497356717
20,11.263580930492251,3.041382446566621,1.3907449614756524
20,11.263580930492251,3.121418826739427,1.3969597485343237
20,11.263580930492251,3.2014552069122324,1.4014670422489441
20,11.263580930492251,3.2814915870850383,1.4043239335995272
20,11.263580930492251,3.361527967257844,1.4055910456412182
20,11.263580930492251,3.44156434743065,1.4053321616389685
20,11.263580930492251,3.521600727603456,1.4036138577317507
20,11.263580930492251,3.601637107776262,1.4005051412641834
20,11.263580930492251,3.6816734879490673,1.3960770958539441
20,11.263580930492251,3.7617098681218732,1.3904025341929473
20,11.263580930492251,3.841746248294679,1.3835556595092877
20,11.263580930492251,3.921782628467485,1.3756117365456517
20,11.263580930492251,4.0018190086402905,1.366646772838566
20,11.263580930492251,4.081855388813096,1.3567372110117484
20,11.263580930492251,4.161891768985902,1.3459596327261847
20,11.263580930492251,4.241928149158708,1.3343904748596174
20,11.263580930492251,4.321964529331514,1.3221057584191447
20,11.263580930492251,4.40200090950432,1.3091808306227526
20,11.263580930492251,4.482037289677126,1.2956901205190898
20,11.263580930492251,4.562073669849932,1.2817069084497845
20,11.263580930492251,4.642110050022738,1.2673031095953056
20,11.263580930492251,4.722146430195543,1.2525490717838892
20,11.263580930492251,4.802182810368349,1.2375133876836073
20,11.263580930492251,4.8822191905411545,1.2222627214402846
20,11.263580930492251,4.96225557071396,1.2068616497688807
20,11.263580930492251,5.042291950886766,1.1913725174531786
20,11.263580930492251,5.122328331059572,1.175855307158297
20,11.263580930492251,5.202364711232378,1.1603675234127109
20,11.263580930492251,5.282401091405184,1.1449640905712448
20,11.263580930492251,5.36243747157799,1.1296972645278596
20,11.263580930492251,5.442473851750796,1.114616557907138
20,11.263580930492251,5.522510231923602,1.0997686784261207
20,11.263580930492251,5.602546612096407,1.0851974800836277
20,11.263580930492251,5.682582992269213,1.0709439268024101
