a,K,PO_simulated_%
20,99.7036621567414,14.502349263544879
20,111.31459866848591,13.833494648986665
20,124.27768056550038,13.330138605649577
20,138.75037121355723,13.04975096179193
20,154.90847129025207,13.045216858118902
20,172.94825424681923,13.34125476468715
20,193.08885045400774,13.929921423665403
20,215.5749089923864,14.783487470954238
20,240.67956942001206,15.867093897009887
20,268.7077796157074,17.146227844606265
20,300.0,18.589360330303073
