a,K,t,y
5,0.5974183127924139,11.245111414279217,1.378671746225595
5,0.5974183127924139,11.28512960436562,1.3715302726608245
5,0.5974183127924139,11.325147794452024,1.3643441094994349
5,0.5974183127924139,11.365165984538425,1.3571148293904365
5,0.5974183127924139,11.405184174624829,1.3498440072873845
5,0.5974183127924139,11.445202364711232,1.3425332201327271
5,0.5974183127924139,11.485220554797635,1.3351840465429863
5,0.5974183127924139,11.525238744884037,1.3277980664948366
5,0.5974183127924139,11.56525693497044,1.3203768610121291
5,0.5974183127924139,11.605275125056844,1.3129220118539309
5,0.5974183127924139,11.645293315143245,1.3054351012036234
5,0.5974183127924139,11.685311505229649,1.297917711359127
5,0.5974183127924139,11.725329695316052,1.2903714244243014
5,0.5974183127924139,11.765347885402456,1.2827978220015805
5,0.5974183127924139,11.805366075488857,1.2751984848858942
5,0.5974183127924139,11.84538426557526,1.2675749927599351
5,0.5974183127924139,11.885402455661664,1.2599289238908198
5,0.5974183127924139,11.925420645748067,1.2522618548282043
5,0.5974183127924139,11.965438835834469,1.2445753601038998
5,0.5974183127924139,12.005457025920872,1.2368710119330493
5,0.5974183127924139,12.045475216007276,1.2291503799169095
5,0.5974183127924139,12.085493406093677,1.2214150307472935
5,0.5974183127924139,12.12551159618008,1.2136665279127292
5,0.5974183127924139,12.165529786266484,1.2059064314063732
5,0.5974183127924139,12.205547976352888,1.1981362974357432
5,0.5974183127924139,12.24556616643929,1.1903576781343084
5,0.5974183127924139,12.285584356525693,1.1825721212749936
5,0.5974183127924139,12.325602546612096,1.1747811699856379
5,0.5974183127924139,12.3656207366985,1.166986362466465
5,0.5974183127924139,12.405638926784901,1.159189231709606
5,0.5974183127924139,12.445657116871304,1.151391305220722
5,0.5974183127924139,12.485675306957708,1.1435941047427765
5,0.5974183127924139,12.52569349704411,1.1357991459819947
5,0.5974183127924139,12.565711687130513,1.1280079383360677
5,0.5974183127924139,12.605729877216916,1.120221984624632
5,0.5974183127924139,12.64574806730332,1.1124427808220771
5,0.5974183127924139,12.685766257389721,1.104671815792721
5,0.5974183127924139,12.725784447476125,1.0969105710283953
5,0.5974183127924139,12.765802637562528,1.0891605203884858
5,0.5974183127924139,12.80582082764893,1.0814231298424608
5,0.5974183127924139,12.845839017735333,1.0736998572149408
5,0.5974183127924139,12.885857207821736,1.0659921519333353
5,0.5974183127924139,12.92587539790814,1.058301454778097
5,0.5974183127924139,12.965893587994541,1.0506291976356263
5,0.5974183127924139,13.005911778080945,1.0429768032538638
5,0.5974183127924139,13.045929968167348,1.0353456850006126
5,0.5974183127924139,13.085948158253752,1.0277372466246208
5,0.5974183127924139,13.125966348340153,1.0201528820194625
5,0.5974183127924139,13.165984538426557,1.0125939749902562
5,0.5974183127924139,13.20600272851296,1.0050618990232494
5,0.5974183127924139,13.246020918599362,0.9975580170583033
5,0.5974183127924139,13.286039108685765,0.9900836812643186
5,0.5974183127924139,13.326057298772168,0.982640232817624
5,0.5974183127924139,13.366075488858572,0.9752290016833658
5,0.5974183127924139,13.406093678944973,0.9678513063999279
5,0.5974183127924139,13.446111869031377,0.9605084538664123
5,0.5974183127924139,13.48613005911778,0.9532017391332092
5,0.5974183127924139,13.526148249204184,0.9459324451956871
5,0.5974183127924139,13.566166439290585,0.9387018427910284
5,0.5974183127924139,13.606184629376989,0.9315111901982404
5,0.5974183127924139,13.646202819463392,0.9243617330413673
5,0.5974183127924139,13.686221009549794,0.9172547040959286
5,0.5974183127924139,13.726239199636197,0.9101913230986108
5,0.5974183127924139,13.7662573897226,0.9031727965602333
5,0.5974183127924139,13.806275579809004,0.896200317582018
5,0.5974183127924139,13.846293769895405,0.889275065675179
5,0.5974183127924139,13.886311959981809,0.8823982065838604
5,0.5974183127924139,13.926330150068212,0.8755708921114396
5,0.5974183127924139,13.966348340154616,0.868794259950219
5,0.5974183127924139,14.006366530241017,0.8620694335145261
5,0.5974183127924139,14.04638472032742,0.8553975217772408
5,0.5974183127924139,14.086402910413824,0.8487796191097668
5,0.5974183127924139,14.126421100500226,0.8422168051254694
5,0.5974183127924139,14.166439290586629,0.8357101445265915
5,0.5974183127924139,14.206457480673032,0.8292606869546688
5,0.5974183127924139,14.246475670759436,0.8228694668444557
5,0.5974183127924139,14.286493860845837,0.8165375032813798
5,0.5974183127924139,14.32651205093224,0.810265799862537
5,0.5974183127924139,14.366530241018644,0.8040553445612431
5,0.5974183127924139,14.406548431105048,0.7979071095951512
5,0.5974183127924139,14.44656662119145,0.7918220512979495
5,0.5974183127924139,14.486584811277853,0.7858011099946486
5,0.5974183127924139,14.526603001364256,0.779845209880471
5,0.5974183127924139,14.566621191450658,0.77395525890335
5,0.5974183127924139,14.606639381537061,0.7681321486500493
5,0.5974183127924139,14.646657571623464,0.7623767542359076
5,0.5974183127924139,14.686675761709868,0.756689934198221
5,0.5974183127924139,14.72669395179627,0.7510725303932655
5,0.5974183127924139,14.766712141882673,0.7455253678969681
5,0.5974183127924139,14.806730331969076,0.740049254909229
5,0.5974183127924139,14.84674852205548,0.7346449826619029
5,0.5974183127924139,14.886766712141881,0.7293133253304405
5,0.5974183127924139,14.926784902228285,0.7240550399491936
5,0.5974183127924139,14.966803092314688,0.7188708663303889
5,0.5974183127924139,15.00682128240109,0.7137615269867659
5,0.5974183127924139,15.046839472487493,0.7087277270578867
5,0.5974183127924139,15.086857662573896,0.7037701542401141
5,0.5974183127924139,15.1268758526603,0.6988894787202572
5,0.5974183127924139,15.166894042746701,0.6940863531128847
5,0.5974183127924139,15.206912232833105,0.6893614124013033
5,0.5974183127924139,15.246930422919508,0.6847152738821985
5,0.5974183127924139,15.286948613005912,0.6801485371139339
5,0.5974183127924139,15.326966803092313,0.6756617838685055
5,0.5974183127924139,15.366984993178717,0.6712555780871474
5,0.5974183127924139,15.40700318326512,0.6669304658395793
5,0.5974183127924139,15.447021373351522,0.6626869752868952
5,0.5974183127924139,15.487039563437925,0.658525616648082
5,0.5974183127924139,15.527057753524328,0.6544468821701623
5,0.5974183127924139,15.567075943610732,0.6504512461019538
5,0.5974183127924139,15.607094133697133,0.6465391646714336
5,0.5974183127924139,15.647112323783537,0.6427110760667021
5,0.5974183127924139,15.68713051386994,0.6389674004205327
5,0.5974183127924139,15.727148703956344,0.6353085397984979
5,0.5974183127924139,15.767166894042745,0.6317348781906592
5,0.5974183127924139,15.807185084129149,0.6282467815068115
5,0.5974183127924139,15.847203274215552,0.6248445975752646
5,0.5974183127924139,15.887221464301954,0.621528656145153
5,0.5974183127924139,15.927239654388357,0.6182992688922554
5,0.5974183127924139,15.96725784447476,0.6151567294283145
5,0.5974183127924139,16.007276034561162,0.6121013133138353
5,0.5974183127924139,16.047294224647565,0.6091332780743525
5,0.5974183127924139,16.08731241473397,0.6062528632201446
5,0.5974183127924139,16.127330604820372,0.6034602902693821
5,0.5974183127924139,16.167348794906776,0.6007557627746883
5,0.5974183127924139,16.20736698499318,0.598139466353098
5,0.5974183127924139,16.24738517507958,0.595611568719391
5,0.5974183127924139,16.287403365165982,0.5931722197227848
5,0.5974183127924139,16.327421555252386,0.590821551386963
5,0.5974183127924139,16.36743974533879,0.5885596779534217
5,0.5974183127924139,16.407457935425192,0.586386695928109
5,0.5974183127924139,16.447476125511596,0.5843026841313406
5,0.5974183127924139,16.487494315598,0.582307703750964
5,0.5974183127924139,16.527512505684403,0.5804017983987515
5,0.5974183127924139,16.567530695770802,0.5785849941699978
5,0.5974183127924139,16.607548885857206,0.5768572997062985
5,0.5974183127924139,16.64756707594361,0.5752187062614839
5,0.5974183127924139,16.687585266030013,0.5736691877706825
5,0.5974183127924139,16.727603456116416,0.5722087009224937
5,0.5974183127924139,16.76762164620282,0.5708371852342341
5,0.5974183127924139,16.807639836289223,0.569554563130242
5,0.5974183127924139,16.847658026375623,0.5683607400232031
5,0.5974183127924139,16.887676216462026,0.5672556043984769
