a,K,ds_da_analytical_re,ds_da_analytical_im,ds_da_numeric_re,ds_da_numeric_im,abs_diff,|ds/da|
20,30000,-0.4999832915703736,-0.03036797245293391,-0.49998329163081223,-0.030367972101430496,3.566615768282739e-10,0.5009046871416232
22,30000,-0.499983287104072,-0.03327243573193609,-0.49998328707445694,-0.03327243561557225,1.2007329932993653e-10,0.5010891561019144
24,30000,-0.4999832826355314,-0.036180256117723845,-0.49998328261580127,-0.036180256586249016,4.689404142001781e-10,0.5012906281267842
26,30000,-0.4999832781647497,-0.03909173286976706,-0.49998327819267274,-0.03909173273086708,1.4167886863536553e-10,0.5015091644458062
28,30000,-0.49998327369172535,-0.04200716710808308,-0.49998327369848994,-0.04200716688274042,2.2544417184401848e-10,0.5017448316225501
30,30000,-0.49998326921645647,-0.04492686197229311,-0.4999832690089079,-0.04492686230150866,3.8917771745711556e-10,0.5019977016113252
32,30000,-0.49998326473894134,-0.047851122783103314,-0.49998326488776,-0.04785112281524562,1.5225021189406405e-10,0.5022678518187421
34,30000,-0.49998326025917916,-0.050780257206415165,-0.4999832601804144,-0.05078025736793279,1.796992843168387e-10,0.5025553651701947
36,30000,-0.49998325577716757,-0.05371457542027649,-0.49998325559741374,-0.053714575329877334,2.0120497956923357e-10,0.5028603301813707
38,30000,-0.49998325129290455,-0.056654390284890346,-0.49998325154732015,-0.05665438948199153,8.422433184723189e-10,0.5031828410349228
40,30000,-0.4999832468063885,-0.05960001751590523,-0.4999832468399745,-0.059600017294769714,2.23671497888579e-10,0.5035229976624248
42,30000,-0.4999832423176185,-0.062551775861219,-0.4999832424701367,-0.06255177595448913,1.787767441341555e-10,0.5038809058317556
44,30000,-0.49998323782659226,-0.06550998728153362,-0.499983237478574,-0.06550998762122617,4.863206283980403e-10,0.5042566772400634
46,30000,-0.4999832333333078,-0.06847497713490981,-0.499983233321899,-0.06847497672879399,4.0627604117232116e-10,0.5046504296124747
48,30000,-0.4999832288377641,-0.07144707436558018,-0.49998322866784406,-0.07144707538486728,1.033353281592135e-09,0.5050622868067232
50,30000,-0.49998322433995884,-0.07442661169728208,-0.49998322433353337,-0.0744266120022985,3.050840868373866e-10,0.5054923789238762
2,70000,-0.4999928568367285,-0.002834758856920254,-0.49999285684165784,-0.002834758277003857,5.799373465081821e-10,0.5000008927447331
4,70000,-0.49999285602026255,-0.004724787094379935,-0.4999928560334155,-0.0047247868906197255,2.04184285028139e-10,0.5000151794539704
6,70000,-0.49999285520362136,-0.006615017874649652,-0.49999285520740955,-0.006615017866806738,8.70986197695649e-12,0.5000366123756853
8,70000,-0.4999928543868045,-0.008505532273319774,-0.49999285437252183,-0.008505531923219678,3.50391313649195e-10,0.5000651942668244
10,70000,-0.49999285356981277,-0.010396411426795794,-0.4999928534843434,-0.010396410914381704,5.194932246007561e-10,0.5001009288048158
12,70000,-0.49999285275264604,-0.012287736549725927,-0.49999285266721927,-0.01228773697903307,4.37724065800072e-10,0.5001438205888828
14,70000,-0.49999285193530363,-0.014179588952467834,-0.49999285188562226,-0.014179589697960182,7.471459563388433e-10,0.5001938751416889
16,70000,-0.4999928511177865,-0.016072050058603984,-0.4999928511750795,-0.01607204978881782,2.758025771512363e-10,0.500251098911316
18,70000,-0.49999285030009416,-0.017965201422512702,-0.49999285021584683,-0.017965201664082997,2.5583944236900423e-10,0.5003154992735722
20,70000,-0.49999284948222567,-0.019859124747005776,-0.4999928495053041,-0.019859124904542114,1.59217812058016e-10,0.5003870845346358
22,70000,-0.4999928486641821,-0.02175390190104031,-0.49999284868817995,-0.02175390136471833,5.368586064822453e-10,0.5004658639340387
24,70000,-0.49999284784596365,-0.023649614937514166,-0.4999928477644744,-0.02364961488865447,9.501457521723678e-11,0.5005518476479831
26,70000,-0.4999928470275695,-0.02554634611115395,-0.4999928469828774,-0.025546346762439498,6.528171643974923e-10,0.5006450467930003
28,70000,-0.49999284620899853,-0.027444177896504964,-0.49999284620128037,-0.027444178556379484,6.599196554241993e-10,0.5007454734299555
30,70000,-0.49999284539025285,-0.02934319300603259,-0.4999928453841562,-0.02934319240921468,5.968490494095519e-10,0.5008531405684011
32,70000,-0.4999928445713315,-0.031243474408343443,-0.4999928445670321,-0.03124347443872466,3.068392445852358e-11,0.500968062171269
34,70000,-0.4999928437522338,-0.033145105346536384,-0.49999284374990793,-0.0331451059309984,5.844666413640834e-10,0.501090253159926
36,70000,-0.49999284293296065,-0.03504816935669413,-0.4999928429683109,-0.035048168456341955,9.010458816106943e-10,0.5012197294195828
38,70000,-0.49999284211351164,-0.036952750286522576,-0.4999928421511868,-0.03695275012205457,1.6872801221081366e-10,0.5013565078050599
40,70000,-0.4999928412938865,-0.03885893231415004,-0.49999284144064404,-0.03885893136157392,9.638148338312487e-10,0.501500606146921
42,70000,-0.49999284047408576,-0.04076679996709558,-0.4999928403393028,-0.04076680056641635,6.142897008941313e-10,0.5016520432579755
44,70000,-0.49999283965410857,-0.04267643814141579,-0.4999928397353415,-0.04267643845423663,3.2319601275705894e-10,0.50181083894015
46,70000,-0.4999928388339551,-0.04458793212104221,-0.49999283891821733,-0.04458793171124853,4.183670379097027e-10,0.5019770139917445
48,70000,-0.4999928380136258,-0.04650136759731741,-0.4999928379945118,-0.046501367592099996,1.9813331463026288e-11,0.5021505902150676
50,70000,-0.49999283719312027,-0.048416830688742835,-0.49999283717738763,-0.04841683136191932,6.733603034248594e-10,0.5023315904244611
