a,K,zeta,wn,s3_real_pole,PO_formula,PO_actual,PO_abs_err,Ts_formula,Ts_actual,Ts_abs_err
33,10000,0.160241290952773,99.83937189544908,-1.0032203191184728,60.04936643825365,60.55603727992531,0.5066708416716637,0.18751887095641298,0.16908014467287458,0.018438726283538404
34,10000,0.16525717117638816,99.83433136472071,-1.0033216247601686,59.072270703945286,59.5910770794903,0.5188063755450116,0.1818364846233221,0.16848818540723287,0.013348299216089238
35,10000,0.1702735598896596,99.82928955802805,-1.0034229713979015,58.10853644582979,58.63889987932096,0.5303634334911678,0.17648835631163864,0.16789616102093685,0.008592195290701793
36,10000,0.17529045736326834,99.82424647455633,-1.0035243590628082,57.15794474618933,57.70009264048854,0.5421478942992124,0.1714458353338153,0.16690334320357947,0.004542492130235831
37,10000,0.18030786386815428,99.8192021134903,-1.0036257877860604,56.22028163667393,56.77610253588385,0.5558208992099196,0.16668345441203164,0.16590528441391061,0.0007781699981210255
38,10000,0.1853257796755162,99.81415647401373,-1.0037272575988658,55.295337970693815,55.86414389523773,0.5688059245439163,0.16217849948769159,0.16471190093348206,0.0025334014457904785
39,10000,0.19034420505681343,99.80910955530949,-1.0038287685324676,54.38290929980322,54.96404514494833,0.5811358451451127,0.15791064745573458,0.16231604683541645,0.0044053993796818736
40,10000,0.19536314028376373,99.8040613565597,-1.0039303206181431,53.48279575393783,54.075587195716366,0.5927914417785374,0.15386165963213314,0.1374750312848021,0.01638662834733104
41,10000,0.20038258562834602,99.79901187694558,-1.0040319138872067,52.59480192537125,53.19855570146601,0.6037537760947629,0.15001512120126176,0.13688116269257838,0.013133958508683374
42,10000,0.20540254136280023,99.7939611156476,-1.004133548371009,51.71873675626383,52.33274094820124,0.6140041919374113,0.1463562187929215,0.1362872291292622,0.010068989663659295
43,10000,0.21042300775962644,99.78890907184513,-1.0042352241009336,50.85441342968045,51.481274822961964,0.6268613932815157,0.14287154983407613,0.13549279746772688,0.007378752366349245
44,10000,0.215443985091586,99.78385574471706,-1.0043369411084024,50.001649263958946,50.640837975458865,0.6391887114999193,0.13954895850266902,0.13449783550592373,0.005051122996745289
45,10000,0.22046547363170313,99.77880113344116,-1.0044386994248724,49.160265610315726,49.810998374020166,0.6507327637044398,0.13637739405137558,0.13330231104667087,0.003075083004704715
46,10000,0.2254874736532621,99.7737452371942,-1.004540499081835,48.33008775358037,48.99156276678869,0.6614750132083174,0.13334678802152375,0.13090386521152997,0.0024429228099937805
47,10000,0.2305099854298114,99.76868805515248,-1.004642340110819,47.510944815952705,48.182342072718875,0.6713972567661699,0.1304479474725853,0.10945993453214217,0.02098801294044314
48,10000,0.23553300923516166,99.76362958649133,-1.0047442225433896,46.702669663683366,47.38524273170523,0.6825730680218669,0.12767246184194977,0.10946240220202835,0.018210059639921422
49,10000,0.2405565453433868,99.75856983038504,-1.004846146411146,45.90509881657979,46.599624626360715,0.6945258097809273,0.12501262144722441,0.10926776968737292,0.01574485175985149
50,10000,0.24558059402882385,99.75350878600715,-1.004948111745725,45.118072360244916,45.823651729379876,0.7055793691349592,0.12246134596784453,0.10907311526539684,0.013388230702447684
2,20000,0.003535445507640932,141.41782065921714,-1.0000500024999999,98.89544559272527,98.90515891157705,0.009713318851780173,6.000300030002248,5.9766926488670755,0.023607381135172467
3,20000,0.007071067785341903,141.41428463912342,-1.0001000150022503,97.8029965360627,97.82244545347092,0.019448917408226407,3.000150030005998,2.9783256139913767,0.02182441601462104
4,20000,0.01060686687951409,141.41074817688883,-1.000150037510503,96.72248089742533,96.75153688525259,0.029055987827263152,2.000100030009752,1.9789849061053588,0.021115123904392963
5,20000,0.014142842836590522,141.40721127237435,-1.0002000700285123,95.65372991858138,95.6922810619507,0.0385511433693182,1.5000750300135077,1.4900603400677466,0.010014689945761157
6,20000,0.017678995703026213,141.4036739254406,-1.000250112560035,94.5965779459532,94.64452640482594,0.0479484588727388,1.20006003001726,1.1799282053370246,0.020131824680235333
7,20000,0.021215325525298014,141.40013613594772,-1.0003001651088281,93.55086236271458,93.608085567024,0.05722320430942318,1.000050030021016,0.9802238380489466,0.019826191972069362
8,20000,0.024751832349904745,141.39659790375651,-1.0003502276786536,92.51642352263315,92.58282548650618,0.06640196387303376,0.8571857443104862,0.846446845905212,0.0107388984052742
9,20000,0.028288516223367127,141.3930592287271,-1.0004003002732742,91.49310468560721,91.56855909549564,0.07545440988843666,0.7500375300285308,0.7359843132820995,0.01405321674643134
10,20000,0.03182537719222801,141.38952011071981,-1.000450382896453,90.48075195484758,90.56516410333056,0.08441214848298273,0.666700030032289,0.6477411017725911,0.018958928259697805
11,20000,0.03536241530305203,141.38598054959516,-1.0005004755519582,89.47921421565688,89.57245180991113,0.09323759425424782,0.6000300300360475,0.6003614681790735,0.0003314381430260527
12,20000,0.0388996306024258,141.38244054521294,-1.0005505782435584,88.48834307575993,88.59028883079658,0.10194575503665249,0.5454818482216269,0.536004780728941,0.009477067492685953
13,20000,0.042437023136958144,141.3789000974335,-1.000600690975025,87.50799280714048,87.61855317728084,0.11056037014036235,0.5000250300435701,0.4916034765118677,0.00842155353170243
14,20000,0.0459745929532798,141.37535920611685,-1.0006508137501309,86.53802028934177,86.6570499760947,0.11902968675292414,0.4615615685088702,0.4478964982702789,0.013665070238591315
