a,K,pole_real,pole_imag,zeta_exact,zeta_approx,abs_error,pct_error_%
2,30000,-0.49998333277777685,173.20147232823416,0.0028867032298171376,0.002886751345948129,4.8116130991430334e-08,0.0016668194532237497
3,30000,-0.9999666633330012,173.19642028634237,0.0057735026822720486,0.005773502691896258,9.62420941552633e-12,1.6669619718161993e-07
4,30000,-1.4999499916651111,173.18992450486024,0.008660398374205841,0.008660254037844387,1.4433636145484707e-07,0.0016666249659454345
5,30000,-1.999933317773551,173.18198482131123,0.011547390322464969,0.011547005383792516,3.849386724531084e-07,0.003333555562803019
6,30000,-2.4999166416577716,173.17260103707457,0.014434478543901199,0.014433756729740645,7.218141605536132e-07,0.005000625123784548
7,30000,-2.9998999633172128,173.16177291735983,0.01732166305537154,0.017320508075688773,1.1549796827686754e-06,0.00666783367784371
8,30000,-3.499883282751316,173.14950019117757,0.020208943873738346,0.0202072594216369,1.6844521014448832e-06,0.008335181254245748
9,30000,-3.9998665999595264,173.13578255130605,0.023096321015869236,0.023094010767585032,2.3102482842041194e-06,0.010002667882113226
10,30000,-4.499849914941288,173.120619654252,0.025983794498637178,0.02598076211353316,3.0323851040181538e-06,0.011670293590788671
11,30000,-4.999833227696042,173.1040111202078,0.02887136433892044,0.02886751345948129,3.8508794391496626e-06,0.013338058409516974
12,30000,-5.499816538223223,173.085956533004,0.031759030553602546,0.031754264805429415,4.765748173131412e-06,0.015005962367421242
13,30000,-5.999799846522299,173.06645544005764,0.03464679315957244,0.034641016151377546,5.777008194894628e-06,0.016674005493921215
14,30000,-6.49978315259267,173.04550735231345,0.03753465217372423,0.03752776749732568,6.8846763985538906e-06,0.01834218781804362
15,30000,-6.99976645643382,173.0231117441853,0.04042260761295755,0.0404145188432738,8.088769683750607e-06,0.020010509369409745
16,30000,-7.499749758045169,172.99926805348758,0.04331065949417716,0.04330127018922193,9.389304955226274e-06,0.021678970177049846
17,30000,-7.999733057426157,172.9739756813658,0.046198807834293205,0.046188021535170064,1.0786299123141663e-05,0.02334757027027661
18,30000,-8.499716354576252,172.9472339922209,0.04908705265022131,0.04907477288111819,1.2279769103125393e-05,0.02501630967869901
19,30000,-8.999699649494852,172.9190423136288,0.05197539395888208,0.05196152422706632,1.3869731815760455e-05,0.02668518843115042
20,30000,-9.49968294218144,172.8893999362559,0.05486383177720188,0.05484827557301445,1.5556204187430756e-05,0.028354206557433675
21,30000,-9.999666232635432,172.8583061137695,0.057752366122112014,0.05773502691896258,1.7339203149432936e-05,0.03002336408653942
22,30000,-10.499649520856263,172.8257600627429,0.0606409970105493,0.060621778264910706,1.9218745638593937e-05,0.0316926610478561
23,30000,-10.99963280684339,172.79176096255682,0.06352972445945597,0.06350852961085883,2.119484859713916e-05,0.0333620974708705
24,30000,-11.499616090596234,172.7563079552949,0.06641854848577944,0.06639528095680697,2.326752897247042e-05,0.03503167338481075
25,30000,-11.999599372114222,172.71940014563506,0.06930746910647242,0.06928203230275509,2.543680371733248e-05,0.03670138881893901
26,30000,-12.499582651396889,172.68103660073578,0.07219648633849365,0.07216878364870322,2.770268979043755e-05,0.038371243803408
27,30000,-12.999565928443577,172.641216350117,0.07508560019880609,0.07505553499465135,3.0065204154730574e-05,0.040041238366778927
28,30000,-13.499549203253729,172.5999383855365,0.07797481070437866,0.07794228634059948,3.2524363779179444e-05,0.041711372538610146
29,30000,-13.999532475826822,172.55720166086152,0.0808641178721858,0.0808290376865476,3.508018563819215e-05,0.04338164634855729
30,30000,-14.499515746162295,172.5130050919347,0.08375352171920704,0.08371578903249574,3.773268671129759e-05,0.04505205982597437
31,30000,-14.999499014259541,172.46734755643521,0.08664302226242715,0.08660254037844387,4.048188398328434e-05,0.0467226130001231
32,30000,-15.499482280118066,172.42022789373516,0.08953261951883666,0.08948929172439199,4.3327794444672496e-05,0.04839330590071344
33,30000,-15.99946554373727,172.37164490474956,0.0924223135054312,0.09237604307034013,4.627043509107531e-05,0.05006413855714208
34,30000,-16.499448805116568,172.32159735178314,0.09531210423921159,0.09526279441628825,4.9309822923337965e-05,0.051735110998684476
35,30000,-16.999432064255405,172.2700839583699,0.09820199173718427,0.09814954576223638,5.244597494789838e-05,0.05340622325487891
36,30000,-17.499415321153283,172.21710340910855,0.10109197601636132,0.10103629710818451,5.56789081768011e-05,0.055077475355501705
37,30000,-17.9993985758096,172.16265434949207,0.10398205709375957,0.10392304845413264,5.9008639626934034e-05,0.05674886732979954
38,30000,-18.499381828223715,172.10673538573155,0.10687223498640133,0.10680979980008076,6.243518632056966e-05,0.05842039920706632
