a,K,pole_real,pole_imag,zeta_exact,zeta_approx,abs_error,pct_error_%
33,70000,-15.99977122262694,264.03028829442246,0.06048728435933984,0.06047431568147635,1.2968677863489653e-05,0.02144033742107842
34,70000,-16.49976406658397,263.99761871318293,0.06237795814046321,0.06236413804652249,1.3820093940720979e-05,0.022155412509016047
35,70000,-16.999756910131374,263.96399796430853,0.06426865898369186,0.06425396041156863,1.4698572123231224e-05,0.02287051317962147
36,70000,-17.499749753269192,263.9294256843026,0.06615938689105971,0.06614378277661476,1.5604114444955908e-05,0.023585639435640737
37,70000,-17.999742595997276,263.89390149918717,0.06805014186460039,0.06803360514166089,1.6536722939497484e-05,0.024300791278878832
38,70000,-18.499735438315682,263.8574250244837,0.06994092390634843,0.06992342750670703,1.7496399641395155e-05,0.025015968712141984
39,70000,-18.99972828022431,263.81999586519134,0.0718317330183381,0.07181324987175317,1.8483146584938326e-05,0.025731171737454414
40,70000,-19.499721121723105,263.7816136157657,0.0737225692026041,0.0737030722367993,1.9496965804804978e-05,0.0264464003570243
41,70000,-19.99971396281206,263.7422778600964,0.07561343246118164,0.07559289460184544,2.0537859336200448e-05,0.02716165457340421
42,70000,-20.499706803491108,263.701988171485,0.07750432279610589,0.07748271696689157,2.1605829214316197e-05,0.027876934388750964
43,70000,-20.999699643760195,263.66074411262116,0.0793952402094124,0.0793725393319377,2.270087747469063e-05,0.028592239805327036
44,70000,-21.499692483619363,263.6185452355583,0.08128618470313738,0.08126236169698385,2.382300615352828e-05,0.02930757082588081
45,70000,-21.999685323068412,263.57539108169016,0.08317715627931636,0.08315218406202998,2.4972217286381437e-05,0.03002292745200676
46,70000,-22.499678162107422,263.531281181725,0.08506815493998614,0.08504200642707611,2.6148512910023625e-05,0.030738309686475358
47,70000,-22.999671000736306,263.48621505565916,0.08695918068718339,0.08693182879212226,2.7351895061131226e-05,0.031453717531589535
48,70000,-23.49966383895503,263.4401922127525,0.08885023352294491,0.08882165115716839,2.8582365776519403e-05,0.0321691509894999
49,70000,-23.999656676763557,263.3932121514993,0.09074131344930808,0.09071147352221452,2.9839927093558427e-05,0.03288461006267919
50,70000,-24.499649514161796,263.3452743596022,0.09263242046831018,0.09260129588726067,3.112458104950755e-05,0.03360009475317053
