Step_Number,K_Element_Name,K_Value,Change_from_Nominal,Change_Percent,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Max_Magnitude,Stable
18,K11,0.0333430653266332,-0.161811934673367,-82.9145728643216,1.23386239214958+0i,-0.30884049934112+0.928511613888431i,-0.30884049934112-0.928511613888431i,1.23386239214958,NO
19,K11,0.0353044221105528,-0.159850577889447,-81.9095477386935,1.23017327576028+0i,-0.307094008985667+0.924199326466237i,-0.307094008985667-0.924199326466237i,1.23017327576028,NO
20,K11,0.0372657788944724,-0.157889221105528,-80.9045226130653,1.22645330862452+0i,-0.305332093256985+0.919851828875919i,-0.305332093256985-0.919851828875919i,1.22645330862452,NO
21,K11,0.039227135678392,-0.155927864321608,-79.8994974874372,1.2227018572869+0i,-0.303554435427368+0.915468368545793i,-0.303554435427368-0.915468368545793i,1.2227018572869,NO
22,K11,0.0411884924623116,-0.153966507537688,-78.894472361809,1.21891826727635+0i,-0.30176070826129+0.911048166785393i,-0.30176070826129-0.911048166785393i,1.21891826727635,NO
23,K11,0.0431498492462312,-0.152005150753769,-77.8894472361809,1.21510186213529+0i,-0.299950573529956+0.906590417523609i,-0.299950573529956-0.906590417523609i,1.21510186213529,NO
24,K11,0.0451112060301508,-0.150043793969849,-76.8844221105528,1.21125194239089+0i,-0.298123681496947+0.902094285967371i,-0.298123681496947-0.902094285967371i,1.21125194239089,NO
25,K11,0.0470725628140704,-0.14808243718593,-75.8793969849246,1.20736778446456+0i,-0.296279670372982+0.897558907176492i,-0.296279670372982-0.897558907176492i,1.20736778446456,NO
26,K11,0.04903391959799,-0.14612108040201,-74.8743718592965,1.20344863951442+0i,-0.294418165737106+0.892983384546858i,-0.294418165737106-0.892983384546858i,1.20344863951442,NO
27,K11,0.0509952763819096,-0.14415972361809,-73.8693467336683,1.19949373220618+0i,-0.292538779922182+0.888366788195247i,-0.292538779922182-0.888366788195247i,1.19949373220618,NO
28,K11,0.0529566331658292,-0.142198366834171,-72.8643216080402,1.19550225940685+0i,-0.290641111361713+0.883708153238211i,-0.290641111361713-0.883708153238211i,1.19550225940685,NO
29,K11,0.0549179899497488,-0.140237010050251,-71.859296482412,1.19147338879529+0i,-0.288724743895135+0.879006477955719i,-0.288724743895135-0.879006477955719i,1.19147338879529,NO
30,K11,0.0568793467336683,-0.138275653266332,-70.8542713567839,1.18740625738313+0i,-0.286789246028246+0.874260721830833i,-0.286789246028246-0.874260721830833i,1.18740625738313,NO
31,K11,0.058840703517588,-0.136314296482412,-69.8492462311558,1.18329996993887+0i,-0.28483417014531+0.869469803454667i,-0.28483417014531-0.869469803454667i,1.18329996993887,NO
32,K11,0.0608020603015075,-0.134352939698492,-68.8442211055276,1.17915359730728+0i,-0.282859051668715+0.864632598285307i,-0.282859051668715-0.864632598285307i,1.17915359730728,NO
33,K11,0.0627634170854271,-0.132391582914573,-67.8391959798995,1.17496617461583+0i,-0.280863408162186+0.859747936248258i,-0.280863408162186-0.859747936248258i,1.17496617461583,NO
34,K11,0.0647247738693467,-0.130430226130653,-66.8341708542713,1.17073669935851+0i,-0.278846738372721+0.854814599164606i,-0.278846738372721-0.854814599164606i,1.17073669935851,NO
35,K11,0.0666861306532663,-0.128468869346734,-65.8291457286432,1.1664641293464+0i,-0.276808521205862+0.849831317991247i,-0.276808521205862-0.849831317991247i,1.1664641293464,NO
36,K11,0.0686474874371859,-0.126507512562814,-64.8241206030151,1.1621473805147+0i,-0.274748214629211+0.84479676985723i,-0.274748214629211-0.84479676985723i,1.1621473805147,NO
