Step_Number,K_Element_Name,K_Value,Change_from_Nominal,Change_Percent,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Max_Magnitude,Stable
43,K12,-0.20439943718593,0.27983256281407,-57.7889447236181,2.19522386469615+0i,-0.797611832348076+0.862768139441077i,-0.797611832348076-0.862768139441077i,2.19522386469615,NO
44,K12,-0.209266090452261,0.274965909547739,-56.7839195979899,2.18136280847976+0i,-0.790681304239877+0.860085876296622i,-0.790681304239877-0.860085876296622i,2.18136280847976,NO
45,K12,-0.214132743718593,0.270099256281407,-55.7788944723618,2.16736769092401+0i,-0.783683745462006+0.857332563657193i,-0.783683745462006-0.857332563657193i,2.16736769092401,NO
46,K12,-0.218999396984925,0.265232603015075,-54.7738693467337,2.15323470485275+0i,-0.776617252426374+0.854505928116587i,-0.776617252426374-0.854505928116587i,2.15323470485275,NO
47,K12,-0.223866050251256,0.260365949748744,-53.7688442211055,2.1389598623255+0i,-0.769479831162748+0.851603577710223i,-0.769479831162748-0.851603577710223i,2.1389598623255,NO
48,K12,-0.228732703517588,0.255499296482412,-52.7638190954774,2.12453898249183+0i,-0.76226939124591+0.84862299340217i,-0.76226939124591-0.84862299340217i,2.12453898249183,NO
49,K12,-0.23359935678392,0.25063264321608,-51.7587939698492,2.10996767838134+0i,-0.754983739190668+0.845561519784306i,-0.754983739190668-0.845561519784306i,2.10996767838134,NO
50,K12,-0.238466010050251,0.245765989949749,-50.7537688442211,2.09524134251374+0i,-0.747620571256872+0.84241635489846i,-0.747620571256872-0.84241635489846i,2.09524134251374,NO
51,K12,-0.243332663316583,0.240899336683417,-49.748743718593,2.08035513119777+0i,-0.740177465598882+0.839184539079033i,-0.740177465598882-0.839184539079033i,2.08035513119777,NO
52,K12,-0.248199316582915,0.236032683417085,-48.7437185929648,2.06530394737052+0i,-0.732651873685256+0.835862942699947i,-0.732651873685256-0.835862942699947i,2.06530394737052,NO
53,K12,-0.253065969849246,0.231166030150754,-47.7386934673367,2.05008242180871+0i,-0.72504111090435+0.832448252693357i,-0.72504111090435-0.832448252693357i,2.05008242180871,NO
54,K12,-0.257932623115578,0.226299376884422,-46.7336683417085,2.03468489251929+0i,-0.717342346259646+0.828936957687743i,-0.717342346259646-0.828936957687743i,2.03468489251929,NO
55,K12,-0.26279927638191,0.22143272361809,-45.7286432160804,2.01910538209018+0i,-0.70955259104509+0.825325331590927i,-0.70955259104509-0.825325331590927i,2.01910538209018,NO
56,K12,-0.267665929648241,0.216566070351759,-44.7236180904523,2.00333757274947+0i,-0.701668686374738+0.821609415416917i,-0.701668686374738-0.821609415416917i,2.00333757274947,NO
57,K12,-0.272532582914573,0.211699417085427,-43.7185929648241,1.98737477884455+0i,-0.693687289422274+0.817784997124336i,-0.693687289422274-0.817784997124336i,1.98737477884455,NO
58,K12,-0.277399236180905,0.206832763819095,-42.713567839196,1.97120991640804+0i,-0.685604858204019+0.81384758919684i,-0.685604858204019-0.81384758919684i,1.97120991640804,NO
59,K12,-0.282265889447236,0.201966110552764,-41.7085427135678,1.95483546942653+0i,-0.677417634713262+0.809792403653112i,-0.677417634713262-0.809792403653112i,1.95483546942653,NO
60,K12,-0.287132542713568,0.197099457286432,-40.7035175879397,1.9382434523658+0i,-0.669121626182896+0.805614324120869i,-0.669121626182896-0.805614324120869i,1.9382434523658,NO
61,K12,-0.291999195979899,0.192232804020101,-39.6984924623116,1.92142536843429+0i,-0.660712584217145+0.801307874547535i,-0.660712584217145-0.801307874547535i,1.92142536843429,NO
62,K12,-0.296865849246231,0.187366150753769,-38.6934673366834,1.90437216297917+0i,-0.652185981489586+0.796867184045112i,-0.652185981489586-0.796867184045112i,1.90437216297917,NO
63,K12,-0.301732502512563,0.182499497487437,-37.6884422110553,1.8870741713053+0i,-0.64353698565265+0.792285947276666i,-0.64353698565265-0.792285947276666i,1.8870741713053,NO
64,K12,-0.306599155778895,0.177632844221105,-36.6834170854271,1.86952106008244+0i,-0.634760430041219+0.787557379681815i,-0.634760430041219-0.787557379681815i,1.86952106008244,NO
65,K12,-0.311465809045226,0.172766190954774,-35.678391959799,1.85170176135421+0i,-0.625850780677105+0.782674166705704i,-0.625850780677105-0.782674166705704i,1.85170176135421,NO
66,K12,-0.316332462311558,0.167899537688442,-34.6733668341708,1.83360439797881+0i,-0.6168020989894+0.777628406032383i,-0.6168020989894-0.777628406032383i,1.83360439797881,NO
67,K12,-0.321199115577889,0.163032884422111,-33.6683417085427,1.81521619910648+0i,-0.607607999553235+0.772411541622328i,-0.607607999553235-0.772411541622328i,1.81521619910648,NO
68,K12,-0.326065768844221,0.158166231155779,-32.6633165829146,1.7965234040231+0i,-0.598261602011549+0.76701428810535i,-0.598261602011549-0.76701428810535i,1.7965234040231,NO
69,K12,-0.330932422110553,0.153299577889447,-31.6582914572864,1.77751115234886+0i,-0.588755476174428+0.761426543769303i,-0.588755476174428-0.761426543769303i,1.77751115234886,NO
70,K12,-0.335799075376884,0.148432924623116,-30.6532663316583,1.75816335815756+0i,-0.579081579078777+0.75563728999768i,-0.579081579078777-0.75563728999768i,1.75816335815756,NO
71,K12,-0.340665728643216,0.143566271356784,-29.6482412060301,1.73846256505371+0i,-0.569231182526855+0.74963447451683i,-0.569231182526855-0.74963447451683i,1.73846256505371,NO
72,K12,-0.345532381909548,0.138699618090452,-28.643216080402,1.71838977857784+0i,-0.559194789288918+0.743404875191745i,-0.559194789288918-0.743404875191745i,1.71838977857784,NO
73,K12,-0.350399035175879,0.133832964824121,-27.6381909547739,1.6979242714672+0i,-0.548962035733598+0.736933940309403i,-0.548962035733598-0.736933940309403i,1.6979242714672,NO
74,K12,-0.355265688442211,0.128966311557789,-26.6331658291457,1.67704335621898+0i,-0.538521578109489+0.73020560025724i,-0.538521578109489-0.73020560025724i,1.67704335621898,NO
75,K12,-0.360132341708543,0.124099658291457,-25.6281407035176,1.65572211801387+0i,-0.527860959006933+0.723202044159279i,-0.527860959006933-0.723202044159279i,1.65572211801387,NO
76,K12,-0.364998994974874,0.119233005025126,-24.6231155778894,1.63393309925035+0i,-0.516966449625176+0.715903453265294i,-0.516966449625176-0.715903453265294i,1.63393309925035,NO
77,K12,-0.369865648241206,0.114366351758794,-23.6180904522613,1.61164592456949+0i,-0.505822862284742+0.708287680537191i,-0.505822862284742-0.708287680537191i,1.61164592456949,NO
78,K12,-0.374732301507538,0.109499698492462,-22.6130653266332,1.58882685210645+0i,-0.494413326053221+0.700329862722058i,-0.494413326053221-0.700329862722058i,1.58882685210645,NO
79,K12,-0.379598954773869,0.104633045226131,-21.608040201005,1.56543823249339+0i,-0.48271901624669+0.692001946912076i,-0.48271901624669-0.692001946912076i,1.56543823249339,NO
80,K12,-0.384465608040201,0.099766391959799,-20.6030150753769,1.54143785142464+0i,-0.470718825712316+0.683272107687781i,-0.470718825712316-0.683272107687781i,1.54143785142464,NO
81,K12,-0.389332261306533,0.0948997386934673,-19.5979899497487,1.51677812374782+0i,-0.45838896187391+0.674104022702388i,-0.45838896187391-0.674104022702388i,1.51677812374782,NO
82,K12,-0.394198914572864,0.0900330854271357,-18.5929648241206,1.49140509610909+0i,-0.445702448054542+0.664455962891085i,-0.445702448054542-0.664455962891085i,1.49140509610909,NO
83,K12,-0.399065567839196,0.085166432160804,-17.5879396984925,1.46525719971222+0i,-0.432628499856109+0.654279636673461i,-0.432628499856109-0.654279636673461i,1.46525719971222,NO
84,K12,-0.403932221105528,0.0802997788944723,-16.5829145728643,1.43826367249324+0i,-0.419131736246619+0.643518702846665i,-0.419131736246619-0.643518702846665i,1.43826367249324,NO
85,K12,-0.408798874371859,0.0754331256281407,-15.5778894472362,1.4103425373866+0i,-0.405171168693299+0.63210682993677i,-0.405171168693299-0.63210682993677i,1.4103425373866,NO
86,K12,-0.413665527638191,0.070566472361809,-14.572864321608,1.38139797453963+0i,-0.390698887269813+0.619965123236988i,-0.390698887269813-0.619965123236988i,1.38139797453963,NO
87,K12,-0.418532180904523,0.0656998190954774,-13.5678391959799,1.35131685057387+0i,-0.375658325286933+0.606998651991102i,-0.375658325286933-0.606998651991102i,1.35131685057387,NO
88,K12,-0.423398834170854,0.0608331658291457,-12.5628140703518,1.31996405051782+0i,-0.35998192525891+0.593091665795353i,-0.35998192525891-0.593091665795353i,1.31996405051782,NO
89,K12,-0.428265487437186,0.055966512562814,-11.5577889447236,1.28717606793707+0i,-0.343587933968534+0.578100850069209i,-0.343587933968534-0.578100850069209i,1.28717606793707,NO
90,K12,-0.433132140703518,0.0510998592964824,-10.5527638190955,1.25275199069021+0i,-0.326375895345104+0.56184555622732i,-0.326375895345104-0.56184555622732i,1.25275199069021,NO
91,K12,-0.437998793969849,0.0462332060301507,-9.54773869346734,1.21644046645992+0i,-0.30822013322996+0.544093193307651i,-0.30822013322996-0.544093193307651i,1.21644046645992,NO
92,K12,-0.442865447236181,0.0413665527638191,-8.5427135678392,1.17792022537629+0i,-0.288960012688145+0.524536543261506i,-0.288960012688145-0.524536543261506i,1.17792022537629,NO
93,K12,-0.447732100502513,0.0364998994974874,-7.53768844221105,1.13676980396744+0i,-0.268384801983721+0.502756882105625i,-0.268384801983721-0.502756882105625i,1.13676980396744,NO
94,K12,-0.452598753768844,0.0316332462311558,-6.53266331658291,1.09241815513915+0i,-0.246208977569575+0.478160516763165i,-0.246208977569575-0.478160516763165i,1.09241815513915,NO
95,K12,-0.457465407035176,0.0267665929648241,-5.52763819095477,1.04405904387168+0i,-0.222029421935838+0.449861349107412i,-0.222029421935838-0.449861349107412i,1.04405904387168,NO
96,K12,-0.462332060301508,0.0218999396984925,-4.52261306532663,0.990490551358152+0i,-0.195245175679075+0.416441580314969i,-0.195245175679075-0.416441580314969i,0.990490551358152,YES
97,K12,-0.467198713567839,0.0170332864321608,-3.51758793969849,0.92978036967501+0i,-0.164890084837502+0.37539349005075i,-0.164890084837502-0.37539349005075i,0.92978036967501,YES
98,K12,-0.472065366834171,0.0121666331658292,-2.51256281407035,0.858451481477125+0i,-0.129225640738559+0.321516909324559i,-0.129225640738559-0.321516909324559i,0.858451481477125,YES
99,K12,-0.476932020100503,0.00729997989949749,-1.50753768844221,0.768939459132258+0i,-0.0844696295661292+0.240191730312348i,-0.0844696295661292-0.240191730312348i,0.768939459132258,YES
100,K12,-0.481798673366834,0.00243332663316587,-0.50251256281407,0.636222912633614+0i,0.0569922990692999+0i,-0.0932150117029104+0i,0.636222912633614,YES
101,K12,-0.486665326633166,-0.00243332663316581,0.50251256281407,0.426394120429373+0.20523909113824i,0.426394120429373-0.20523909113824i,-0.252788040858744+0i,0.473217741074856,YES
102,K12,-0.491531979899497,-0.00729997989949749,1.50753768844221,0.46081419524547+0.359375750638208i,0.46081419524547-0.359375750638208i,-0.321628190490941+0i,0.584380571790769,YES
103,K12,-0.496398633165829,-0.0121666331658292,2.51256281407035,0.485003429787412+0.453297111696217i,0.485003429787412-0.453297111696217i,-0.370006659574825+0i,0.663857362976179,YES
104,K12,-0.501265286432161,-0.0170332864321608,3.51758793969849,0.504064263229238+0.525243987827899i,0.504064263229238-0.525243987827899i,-0.408128326458476+0i,0.72798490933136,YES
105,K12,-0.506131939698492,-0.0218999396984925,4.52261306532663,0.51994996995427+0.58509706976773i,0.51994996995427-0.58509706976773i,-0.439899739908538+0i,0.78274296694779,YES
106,K12,-0.510998592964824,-0.0267665929648241,5.52763819095477,0.533644188736069+0.637109550342673i,0.533644188736069-0.637109550342673i,-0.467288177472133+0i,0.831074424651379,YES
107,K12,-0.515865246231156,-0.0316332462311557,6.53266331658291,0.545720434451868+0.683549351562843i,0.545720434451868-0.683549351562843i,-0.491440668903736+0i,0.874671657595191,YES
108,K12,-0.520731899497487,-0.0364998994974874,7.53768844221105,0.556545738452748+0.72578582617701i,0.556545738452748-0.72578582617701i,-0.5130912769055+0i,0.914608235513633,YES
109,K12,-0.525598552763819,-0.0413665527638191,8.5427135678392,0.56637075205686+0.764716727922854i,0.56637075205686-0.764716727922854i,-0.532741304113722+0i,0.951613105600427,YES
110,K12,-0.530465206030151,-0.0462332060301508,9.54773869346734,0.575375077553903+0.800966324120357i,0.575375077553903-0.800966324120357i,-0.550749955107807+0i,0.986206637700759,YES
111,K12,-0.535331859296482,-0.0510998592964824,10.5527638190955,0.583692270273502+0.834988381152105i,0.583692270273502-0.834988381152105i,-0.567384340546999+0i,1.01877488339478,NO
112,K12,-0.540198512562814,-0.055966512562814,11.5577889447236,0.591424620279831+0.867124349906461i,0.591424620279831-0.867124349906461i,-0.582849040559661+0i,1.0496131285735,NO
113,K12,-0.545065165829146,-0.0608331658291458,12.5628140703518,0.598652381225699+0.897638411472368i,0.598652381225699-0.897638411472368i,-0.597304562451397+0i,1.0789529143099,NO
114,K12,-0.549931819095477,-0.0656998190954774,13.5678391959799,0.605439791587878+0.926739685687025i,0.605439791587878-0.926739685687025i,-0.610879383175756+0i,1.10697957807055,NO
115,K12,-0.554798472361809,-0.0705664723618091,14.572864321608,0.611839148471449+0.954596899562352i,0.611839148471449-0.954596899562352i,-0.623678096942894+0i,1.13384407404913,NO
116,K12,-0.559665125628141,-0.0754331256281406,15.5778894472362,0.617893649257801+0.981348414792167i,0.617893649257801-0.981348414792167i,-0.635787098515604+0i,1.15967119176438,NO
117,K12,-0.564531778894472,-0.0802997788944724,16.5829145728643,0.623639426030248+1.00710928496485i,0.623639426030248-1.00710928496485i,-0.647278652060496+0i,1.18456542477051,NO
