n,theta_rad,group_delay_samples
1,0.10221227995499409,0.8615289348925899
1,0.10273593267271201,0.8614830274594283
1,0.10325958539042993,0.8614368911924686
1,0.10378323810814785,0.8613905261785391
1,0.10430689082586576,0.861343932505136
1,0.10483054354358369,0.861297110260125
1,0.1053541962613016,0.8612500595315851
1,0.10587784897901951,0.8612027804081208
1,0.10640150169673744,0.8611552729788343
1,0.10692515441445535,0.8611075373331261
1,0.10744880713217328,0.8610595735608655
1,0.10797245984989119,0.8610113817524052
1,0.10849611256760912,0.8609629619983679
1,0.10901976528532703,0.8609143143898308
1,0.10954341800304494,0.8608654390183119
1,0.11006707072076287,0.860816335975727
1,0.11059072343848078,0.8607670053544041
1,0.11111437615619871,0.8607174472470547
1,0.11163802887391662,0.8606676617469589
1,0.11216168159163455,0.8606176489474677
1,0.11268533430935246,0.8605674089426429
1,0.11320898702707037,0.8605169418269014
1,0.1137326397447883,0.8604662476949585
1,0.11425629246250621,0.8604153266419701
1,0.11477994518022414,0.8603641787635752
1,0.11530359789794205,0.8603128041558108
1,0.11582725061565997,0.8602612029150549
1,0.11635090333337789,0.8602093751380693
1,0.11687455605109581,0.8601573209220561
1,0.11739820876881372,0.8601050403647292
1,0.11792186148653164,0.8600525335640299
1,0.11844551420424956,0.8599998006184109
1,0.11896916692196748,0.8599468416267229
1,0.1194928196396854,0.8598936566881008
1,0.12001647235740331,0.8598402459023475
1,0.12054012507512124,0.8597866093693654
1,0.12106377779283915,0.859732747189554
1,0.12158743051055708,0.859678659463853
1,0.12211108322827499,0.8596243462935149
1,0.1226347359459929,0.859569807780133
1,0.12315838866371083,0.8595150440256845
1,0.12368204138142874,0.8594600551327432
1,0.12420569409914667,0.8594048412039967
1,0.12472934681686458,0.8593494023427155
1,0.1252529995345825,0.8592937386526387
1,0.1257766522523004,0.8592378502376903
1,0.12630030497001832,0.859181737202249
1,0.12682395768773624,0.8591253996511483
1,0.12734761040545417,0.8590688376897475
1,0.12787126312317207,0.8590120514236048
1,0.12839491584089,0.8589550409585485
1,0.12891856855860792,0.8588978064011741
1,0.12944222127632585,0.8588403478582478
1,0.12996587399404375,0.8587826654368769
1,0.13048952671176167,0.8587247592446232
1,0.1310131794294796,0.8586666293895462
1,0.1315368321471975,0.858608275980032
1,0.13206048486491542,0.8585496991246941
1,0.13258413758263335,0.8584908989327715
1,0.13310779030035128,0.8584318755137446
1,0.13363144301806917,0.8583726289776905
1,0.1341550957357871,0.8583131594347719
1,0.13467874845350503,0.8582534669956488
1,0.13520240117122292,0.8581935517715635
1,0.13572605388894085,0.858133413873901
1,0.13624970660665878,0.8580730534145005
1,0.1367733593243767,0.8580124705057273
1,0.1372970120420946,0.8579516652601882
1,0.13782066475981253,0.8578906377907742
1,0.13834431747753045,0.8578293882109875
1,0.13886797019524835,0.8577679166346854
1,0.13939162291296628,0.8577062231759527
1,0.1399152756306842,0.857644307949414
1,0.14043892834840213,0.8575821710699643
1,0.14096258106612003,0.8575198126529529
1,0.14148623378383796,0.8574572328141414
1,0.14200988650155588,0.8573944316694906
1,0.1425335392192738,0.8573314093355151
1,0.1430571919369917,0.8572681659291845
1,0.14358084465470963,0.8572047015676674
1,0.14410449737242756,0.8571410163684874
1,0.14462815009014546,0.8570771104497794
1,0.14515180280786338,0.8570129839297778
1,0.1456754555255813,0.8569486369272425
1,0.14619910824329924,0.8568840695615307
1,0.14672276096101713,0.8568192819518003
1,0.14724641367873506,0.8567542742181331
1,0.147770066396453,0.8566890464808665
1,0.14829371911417089,0.8566235988602955
1,0.1488173718318888,0.8565579314777381
1,0.14934102454960674,0.8564920444545123
1,0.14986467726732466,0.8564259379122205
1,0.15038832998504256,0.8563596119731613
1,0.1509119827027605,0.8562930667597186
1,0.15143563542047841,0.8562263023948304
1,0.1519592881381963,0.8561593190017618
1,0.15248294085591424,0.8560921167040476
1,0.15300659357363217,0.8560246956256066
1,0.1535302462913501,0.8559570558909542
1,0.154053899009068,0.8558891976247764
1,0.15457755172678592,0.8558211209520152
1,0.15510120444450384,0.8557528259982661
1,0.15562485716222174,0.8556843128893235
1,0.15614850987993967,0.8556155817514366
1,0.1566721625976576,0.8555466327111105
1,0.15719581531537552,0.8554774658951203
1,0.15771946803309342,0.8554080814310225
1,0.15824312075081134,0.8553384794463454
1,0.15876677346852927,0.8552686600690436
1,0.15929042618624717,0.8551986234276114
1,0.1598140789039651,0.8551283696506573
1,0.16033773162168302,0.8550578988674715
1,0.16086138433940095,0.8549872112073444
1,0.16138503705711885,0.8549163068003054
1,0.16190868977483677,0.85484518577627
1,0.1624323424925547,0.8547738482660634
1,0.16295599521027263,0.8547022944004254
1,0.16347964792799052,0.8546305243106076
1,0.16400330064570845,0.8545585381284582
1,0.16452695336342638,0.8544863359857118
1,0.16505060608114427,0.8544139180148136
1,0.1655742587988622,0.8543412843485214
1,0.16609791151658013,0.8542684351197067
1,0.16662156423429805,0.8541953704620084
1,0.16714521695201595,0.8541220905090938
1,0.16766886966973388,0.8540485953949428
1,0.1681925223874518,0.8539748852542459
1,0.1687161751051697,0.8539009602216936
1,0.16923982782288763,0.8538268204324879
1,0.16976348054060555,0.8537524660222857
1,0.17028713325832348,0.8536778971268006
1,0.17081078597604138,0.8536031138823716
1,0.1713344386937593,0.8535281164255366
1,0.17185809141147723,0.8534529048931745
1,0.17238174412919513,0.8533774794226758
1,0.17290539684691306,0.8533018401515733
1,0.17342904956463098,0.8532259872179395
1,0.1739527022823489,0.853149920759904
1,0.1744763550000668,0.8530736409163922
1,0.17500000771778473,0.852997147826386
1,0.17552366043550266,0.8529204416290384
1,0.17604731315322059,0.8528435224642124
1,0.17657096587093848,0.8527663904719702
1,0.1770946185886564,0.8526890457926015
1,0.17761827130637434,0.8526114885669358
1,0.17814192402409224,0.8525337189360584
1,0.17866557674181016,0.8524557370412822
1,0.1791892294595281,0.8523775430245166
1,0.17971288217724601,0.8522991370277282
1,0.1802365348949639,0.8522205191933665
1,0.18076018761268184,0.8521416896642791
1,0.18128384033039976,0.8520626485835692
1,0.18180749304811766,0.8519833960948233
1,0.1823311457658356,0.8519039323415143
1,0.18285479848355352,0.8518242574679391
1,0.18337845120127144,0.8517443716187358
1,0.18390210391898934,0.8516642749384289
1,0.18442575663670727,0.8515839675722816
1,0.1849494093544252,0.85150344966587
1,0.1854730620721431,0.85142272136477
1,0.18599671478986102,0.851341782815183
1,0.18652036750757894,0.8512606341636797
1,0.18704402022529687,0.8511792755570582
1,0.18756767294301477,0.8510977071424293
1,0.1880913256607327,0.8510159290670742
