omega,uncompensated_dB,compensated_2nd_dB
-9.14390553391711,-0.17788016565545514,-43.70660106110307
-9.142963008994785,-0.169635589946934,-43.63938724474068
-9.142020484072463,-0.16136370615453166,-43.57233781714057
-9.14107795915014,-0.15306451061765822,-43.50545148106869
-9.140135434227817,-0.14473799955640448,-43.43872695203933
-9.139192909305494,-0.13638416907059836,-43.37216295814387
-9.138250384383172,-0.12800301513880974,-43.30575823988252
-9.137307859460847,-0.11959453361737898,-43.23951154999848
-9.136365334538525,-0.11115872023949852,-43.173421653315685
-9.135422809616202,-0.10269557061414149,-43.107487326577754
-9.134480284693879,-0.09420508022515263,-43.04170735829078
-9.133537759771556,-0.0856872444302431,-42.976080548568106
-9.132595234849232,-0.07714205845999934,-42.910605708977656
-9.13165270992691,-0.06856951741694572,-42.845281662392026
-9.130710185004586,-0.05996961627446862,-42.780107242840195
-9.129767660082264,-0.051342349875893895,-42.71508129536234
-9.128825135159941,-0.042687712933457495,-42.650202675866595
-9.127882610237616,-0.03400570002730825,-42.58547025098817
-9.126940085315294,-0.02529630560456422,-42.520882897950955
-9.125997560392971,-0.016559523978208864,-42.45643950443039
-9.125055035470648,-0.0077953493261527194,-42.3921389684196
-9.124112510548326,0.0009962243097893155,-42.32798019809682
-9.123169985626003,0.009815203024920347,-42.26396211169532
-9.122227460703678,0.01866159305267955,-42.20008363737498
-9.121284935781356,0.027535400765605754,-42.136343713096515
-9.120342410859033,0.03643663267645707,-42.072741286496466
-9.11939988593671,0.04536529543915615,-42.00927531476527
-9.118457361014388,0.05432139584985836,-41.94594476452651
-9.117514836092063,0.06330494084797503,-41.8827486117183
-9.11657231116974,0.07231593751715218,-41.819685841476506
-9.115629786247418,0.08135439308640507,-41.756755448019256
-9.114687261325095,0.09042031493109656,-41.69395643453372
-9.113744736402772,0.099513710573983,-41.63128781306449
-9.112802211480448,0.1086345876862908,-41.568748604403254
-9.111859686558125,0.11778295408869013,-41.50633783798093
-9.110917161635802,0.12695881775245524,-41.44405455176024
-9.10997463671348,0.1361621868004508,-41.38189779213086
-9.109032111791157,0.14539306950819575,-41.319866613805736
-9.108089586868832,0.1546514743049681,-41.25796007971882
-9.10714706194651,0.1639374097747774,-41.19617726092484
-9.106204537024187,0.17325088465754857,-41.134517236499605
-9.105262012101864,0.18259190785012364,-41.07297909344258
-9.104319487179541,0.19196048840736032,-41.011561926580555
-9.103376962257219,0.20135663554320005,-40.95026483847281
-9.102434437334894,0.21078035863178451,-40.88908693931734
-9.101491912412571,0.2202316672084528,-40.82802734685927
-9.100549387490249,0.22971057097094677,-40.76708518629924
-9.099606862567926,0.23921707978044518,-40.70625959020425
-9.098664337645603,0.24875120366265727,-40.645549698419416
-9.097721812723279,0.2583129528089571,-40.58495465798066
-9.096779287800956,0.26790233757740944,-40.5244736230295
-9.095836762878633,0.27751936849399356,-40.46410575472773
-9.09489423795631,0.2871640562536335,-40.40385022117444
-9.093951713033988,0.29683641172133035,-40.343706197323755
-9.093009188111663,0.3065364459333251,-40.283672864903636
-9.09206666318934,0.31626417009812335,-40.22374941233633
-9.091124138267018,0.3260195955977279,-40.163935034658955
-9.090181613344695,0.33580273398873206,-40.10422893344607
-9.089239088422373,0.34561359700344135,-40.04463031673305
-9.08829656350005,0.35545219655101645,-39.98513839894042
-9.087354038577725,0.3653185447186592,-39.9257524007991
-9.086411513655403,0.3752126537726628,-39.86647154927739
-9.08546898873308,0.38513453615967613,-39.80729507750773
-9.084526463810757,0.3950842045078091,-39.74822222471551
-9.083583938888435,0.4050616716277733,-39.68925223614849
-9.08264141396611,0.4150669505141074,-39.630384363006904
-9.081698889043787,0.42510005434624826,-39.571617862375334
-9.080756364121465,0.43516099648980955,-39.51295199715418
-9.079813839199142,0.4452497904977045,-39.454386035993224
-9.07887131427682,0.4553664501113438,-39.39591925322561
-9.077928789354495,0.4655109892618168,-39.33755092880252
-9.076986264432172,0.4756834220710516,-39.279280348229506
-9.07604373950985,0.4858837628530877,-39.22110680250226
-9.075101214587526,0.4961120261152082,-39.16302958804469
-9.074158689665204,0.5063682265591796,-39.10504800664691
-9.073216164742881,0.5166523790824515,-39.047161365404406
-9.072273639820557,0.5269644987793837,-38.98936897665772
-9.071331114898234,0.5373046009424034,-38.93167015793361
-9.070388589975911,0.5476727010633431,-38.87406423188574
-9.069446065053588,0.5580688148345773,-38.81655052623737
-9.068503540131266,0.5684929581502979,-38.75912837372402
-9.067561015208941,0.5789451471077651,-38.70179711203716
-9.066618490286618,0.5894253980084697,-38.64455608376895
-9.065675965364296,0.5999337273595038,-38.58740463635665
-9.064733440441973,0.6104701518747407,-38.530342122028884
-9.06379091551965,0.6210346884761109,-38.473367897751956
-9.062848390597326,0.6316273542948952,-38.41648132517687
-9.061905865675003,0.642248166672898,-38.35968177058763
-9.06096334075268,0.652897143163871,-38.302968604848985
-9.060020815830358,0.6635743015346911,-38.246341203356025
-9.059078290908035,0.6742796597666807,-38.18979894598376
-9.05813576598571,0.6850132360569183,-38.13334121703745
-9.057193241063388,0.6957750488194578,-38.07696740520391
-9.056250716141065,0.7065651166867495,-38.02067690350255
-9.055308191218742,0.7173834585108734,-37.96446910923796
-9.05436566629642,0.7282300933648842,-37.90834342395254
-9.053423141374097,0.7391050405441134,-37.852299253379876
-9.052480616451772,0.7500083195675338,-37.79633600739851
-9.05153809152945,0.7609399501790103,-37.74045309998694
-9.050595566607127,0.7718999523487567,-37.68464994917787
-9.049653041684804,0.7828883462746034,-37.628925977014305
-9.048710516762482,0.7939051523833741,-37.57328060950546
-9.047767991840157,0.8049503913322575,-37.517713276583436
-9.046825466917834,0.8160240840100939,-37.46222341206062
-9.045882941995512,0.827126251538874,-37.406810453586765
-9.044940417073189,0.8382569152750319,-37.351473842607646
-9.043997892150866,0.8494160968108473,-37.29621302432351
-9.043055367228542,0.8606038179758645,-37.24102744764814
-9.042112842306219,0.8718201008381966,-37.18591656516898
-9.041170317383896,0.8830649677060666,-37.130879833106455
-9.040227792461573,0.8943384411291295,-37.07591671127507
-9.03928526753925,0.9056405438999137,-37.02102666304426
-9.038342742616926,0.9169712990552619,-36.9662091552998
-9.037400217694604,0.928330729877691,-36.911463658406085
-9.03645769277228,0.9397188598969437,-36.85678964616793
-9.035515167849958,0.9511357128913631,-36.80218659579371
-9.034572642927635,0.9625813128893655,-36.74765398785847
