n,theta_c_deg,guard_band_deg,resonance_cost_dB
3,22.0,54.4476073554765,-56.99451020898911
3,22.5,53.38046583780721,-56.393940430784184
3,23.0,52.34969036896564,-55.80589289168336
3,23.5,51.353574467078445,-55.22981309524998
3,24.0,50.39050606478348,-54.66518149903785
3,24.5,49.458962033055144,-54.111510629563554
3,25.0,48.55750297181289,-53.56834248875063
3,25.499999999999996,47.684768268693446,-53.035246217206605
3,26.0,46.83947142353234,-52.511815984403796
3,26.5,46.02039563321592,-51.99766907982645
3,27.0,45.22638962944071,-51.49244418254091
3,27.5,44.45636376040358,-50.99579978954214
3,28.0,43.70928630641729,-50.50741278570841
3,28.500000000000004,42.98418001880078,-50.02697714032319
3,29.000000000000004,42.280118871046426,-49.55420271695506
3,29.499999999999996,41.59622501115371,-49.08881418506751
3,29.999999999999996,40.93166590408248,-48.630550023098365
3,30.5,40.285651653476144,-48.1791616039365
3,31.0,39.657432492103254,-47.73441235475588
3,31.5,39.04629643083193,-47.29607698406811
3,32.0,38.451567056367786,-46.86394076964131
3,32.5,37.872601468432975,-46.437798901623154
3,33.0,37.308788347527134,-46.017455875810796
3,33.5,36.75954614488161,-45.602724932543055
3,34.0,36.22432138668721,-45.19342753715955
3,34.50000000000001,35.70258708513652,-44.789392898386026
3,35.0,35.19384124927088,-44.390457521371765
3,35.5,34.69760548905509,-43.9964647924303
3,36.0,34.21342370651959,-43.60726459282348
3,36.5,33.740860868205225,-43.22271293918571
3,37.0,33.27950185352302,-42.84267164841404
3,37.49999999999999,32.82895037399813,-42.46700802505465
3,38.0,32.38882795870273,-42.095594569398436
3,38.5,31.958773001498862,-41.728308704662226
3,39.00000000000001,31.538439866009934,-41.36503252177899
3,39.5,31.127498044516624,-41.00565254045206
3,40.0,30.725631367234143,-40.65005948524677
3,40.5,30.332537258670392,-40.298148075600075
3,41.0,29.947926037991206,-39.949816828724394
3,41.5,29.571520260530757,-39.60496787446948
3,41.99999999999999,29.203054097782164,-39.26350678128409
3,42.5,28.84227275338599,-38.92534239249107
3,43.0,28.488931912805892,-38.5903866721534
3,43.50000000000001,28.142797224538455,-38.25855455986768
3,44.0,27.80364381085247,-37.929763833874595
3,44.5,27.471255806188907,-37.603934981924276
3,45.0,27.145425921481642,-37.28099107937874
3,45.5,26.825955032775816,-36.96085767407352
3,46.0,26.512651792631686,-36.64346267749757
3,46.49999999999999,26.20533226290342,-36.328736261883755
