theta,re,im
-2.616933563963057,0.9788030339392928,-0.9974942558290651
-2.6137918927676873,0.9808791832661747,-1.007519595089045
-2.6106502215723175,0.9829847819905199,-1.0176510224104927
-2.6075085503769477,0.9851203469239286,-1.0278905862192833
-2.6043668791815784,0.9872864078120941,-1.0382403846985564
-2.6012252079862086,0.989483507733706,-1.048702567338701
-2.598083536790839,0.9917122035143049,-1.0592793365452502
-2.5949418655954695,0.9939730661557501,-1.0699729493072498
-2.5918001944000997,0.9962666812819807,-1.0807857189287609
-2.58865852320473,0.9985936496018031,-1.091720016826306
-2.58551685200936,1.0009545873894627,-1.1027782743952237
-2.5823751808139903,1.003350126983803,-1.1139629849480313
-2.579233509618621,1.0057809173068524,-1.1252767057280642
-2.576091838423251,1.0082476244027296,-1.1367220600018322
-2.5729501672278814,1.0107509319977954,-1.1483017392336996
-2.569808496032512,1.0132915420830386,-1.1600185053467187
-2.5666668248371423,1.0158701755197284,-1.1718751930736204
-2.5635251536417725,1.018487572669423,-1.1838747124021722
-2.5603834824464027,1.0211444940494856,-1.1960200511193915
-2.557241811251033,1.0238417210153203,-1.2083142774592868
-2.5541001400556635,1.0265800564705991,-1.2207605428590844
-2.5509584688602938,1.0293603256068407,-1.233362084829189
-2.547816797664924,1.0321833766737472,-1.2461222299423511
-2.5446751264695546,1.0350500817818191,-1.2590443969479161
-2.541533455274185,1.0379613377388222,-1.2721321000172723
-2.538391784078815,1.0409180669217877,-1.2853889521270063
-2.5352501128834453,1.0439212181863184,-1.2988186685866432
-2.5321084416880755,1.046971767815077,-1.3124250707182339
-2.528966770492706,1.0500707205074291,-1.3262120896954648
-2.5258250992973363,1.0532191104123547,-1.3401837705504462
-2.5226834281019666,1.0564180022068355,-1.3543442763567544
-2.519541756906597,1.059668492222074,-1.3686978925978797
-2.5164000857112274,1.0629717096200413,-1.3832490317307369
-2.5132584145158576,1.066328817622994,-1.39800223795445
-2.510116743320488,1.0697410147987547,-1.4129621921953206
-2.506975072125118,1.0732095364047398,-1.428133717319461
-2.5038334009297487,1.0767356557938772,-1.4435217835853453
-2.500691729734379,1.0803206858857834,-1.4591315143492685
-2.497550058539009,1.0839659807067266,-1.474968192037477
-2.49440838734364,1.0876729370021967,-1.4910372643996785
-2.49126671614827,1.0914429959260779,-1.5073443510595046
-2.4881250449529,1.0952776448107024,-1.5238952503784815
-2.4849833737575304,1.0991784190223608,-1.5406959466512276
-2.4818417025621606,1.1031469039070967,-1.557752617650618
-2.4787000313667913,1.1071847368319603,-1.5750716425429814
-2.4755583601714215,1.1112936093272356,-1.5926596101946673
-2.4724166889760517,1.1154752693354972,-1.6105233278927364
-2.4692750177806824,1.119731523573782,-1.6286698305041027
-2.4661333465853126,1.1240642400155607,-1.6471063900990528
-2.462991675389943,1.1284753504996488,-1.6658405260668232
-2.459850004194573,1.132966853473707,-1.6848800157528845
-2.456708332999203,1.1375408168804966,-1.7042329056495928
-2.453566661803834,1.1421993811956217,-1.7239075231740606
-2.450424990608464,1.1469447626261358,-1.7439124890695754
-2.4472833194130943,1.15177925648001,-1.764256730469351
-2.444141648217725,1.1567052407172285,-1.7849494946643392
-2.440999977022355,1.16172517969403,-1.806000363619731
-2.4378583058269854,1.1668416281126464,-1.827419269288063
-2.4347166346316156,1.1720572351898486,-1.8492165097704787
-2.431574963436246,1.177374749058537,-1.8714027663813884
-2.4284332922408765,1.1827970214177397,-1.893989121676056
-2.4252916210455067,1.1883270124475298,-1.916987078505098
-2.422149949850137,1.1939677960066102,-1.9404085801647653
-2.4190082786547675,1.1997225651317591,-1.9642660317172977
-2.4158666074593977,1.2055946378597489,-1.9885723225613896
-2.412724936264028,1.211587463394023,-2.013340850339059
-2.409583265068658,1.2177046286402102,-2.0385855462722775
-2.4064415938732884,1.2239498651364327,-2.06432090203003
-2.403299922677919,1.2303270564065498,-2.0905619982348242
-2.4001582514825492,1.2368402457667302,-2.1173245347265377
-2.3970165802871795,1.2434936446183014,-2.144624862711284
-2.39387490909181,1.250291641262603,-2.1724800189337943
-2.3907332378964403,1.257238810276558,-2.2009077620234216
-2.3875915667010705,1.264339922491032,-2.2299266111768055
-2.3844498955057007,1.2715999556176873,-2.259555887354415
-2.381308224310331,1.2790241055740166,-2.2898157571835887
-2.3781665531149616,1.2866177985606995,-2.3207272797778824
-2.375024881919592,1.2943867039502048,-2.3523124567012195
-2.371883210724222,1.3023367480509422,-2.38459428532609
-2.3687415395288527,1.3104741288171584,-2.4175968158578836
-2.365599868333483,1.3188053315812576,-2.4513452123226367
-2.362458197138113,1.3273371458924106,-2.4858658178433104
-2.3593165259427433,1.3360766835533269,-2.521186224560663
-2.3561748547473735,1.3450313979557984,-2.557335348588859
-2.353033183552004,1.3542091048254885,-2.594343510433924
-2.3498915123566344,1.3636180044972346,-2.6322425213452787
-2.3467498411612646,1.3732667058542656,-2.6710657761173375
-2.3436081699658953,1.3831642520781442,-2.7108483529104355
-2.3404664987705255,1.3933201483712803,-2.751627120718363
-2.3373248275751557,1.403744391830589,-2.7934408551747225
-2.334183156379786,1.4144475036695257,-2.8363303634629102
-2.331041485184416,1.4254405640068428,-2.8803386191757587
-2.3278998139890468,1.4367352494636794,-2.9255109080618165
-2.324758142793677,1.448343873837179,-2.971894985697705
-2.321616471598307,1.4602794321483143,-3.019541248240642
-2.318474800402938,1.4725556483951676,-3.0685029175450294
-2.315333129207568,1.4851870273803385,-3.118836242072792
-2.3121914580121983,1.4981889110239754,-3.170600715192197
-2.3090497868168285,1.511577539621796,-3.223859312646727
-2.3059081156214587,1.5253701185622066,-3.278678751187181
-2.3027664444260894,1.5395848910782879,-3.33512977060064
-2.2996247732307196,1.5542412176808986,-3.393287441643623
-2.2964831020353498,1.5693596629987605,-3.453231502698556
-2.2933414308399804,1.5849620908423796,-3.515046728329285
-2.2901997596446106,1.6010717684115334,-3.5788233333193227
-2.287058088449241,1.617713480682828,-3.644657416244733
-2.283916417253871,1.634913656145412,-3.7126514471727394
-2.2807747460585013,1.6527005051996166,-3.7829148046986822
-2.277633074863132,1.671104172694919,-3.8555643682538427
-2.274491403667762,1.690156906256771,-3.9307251724530197
-2.2713497324723924,1.7098932422294515,-4.008531131226323
-2.268208061277023,1.7303502112307325,-4.089125840624494
-2.2650663900816532,1.7515675654472245,-4.172663470536657
-2.2619247188862834,1.7735880298547297,-4.259309757163216
-2.2587830476909136,1.796457579452007,-4.349243110007637
-2.255641376495544,1.820225744234302,-4.4426558494719
-2.2524997053001745,1.8449459428230284,-4.539755593975606
-2.2493580341048047,1.8706758441325813,-4.640766819019396
-2.246216362909435,1.897477753779404,-4.745932614984917
-2.2430746917140656,1.9254190175113541,-4.855516675986998
-2.239933020518696,1.9545724268789608,-4.969805559142997
-2.236791349323326,1.9850166014439592,-5.089111262708418
-2.2336496781279562,2.0168363053089937,-5.2137741833187405
-2.2305080069325864,2.0501226313249323,-5.3441665279615185
-2.227366335737217,2.084972950894647,-5.4806962764309
-2.2242246645418473,2.121490476811365,-5.623811816351548
-2.2210829933464775,2.159783215903948,-5.774007407221745
-2.217941322151108,2.1999619909899035,-5.931829674508736
-2.2147996509557384,2.2421370798986615,-6.09788539214708
-2.2116579797603686,2.286412843678115,-6.272850884509324
-2.208516308564999,2.3328794853497308,-6.457483469437785
-2.205374637369629,2.3816007815740963,-6.652635473530181
-2.2022329661742597,2.432596246794318,-6.859271478112346
-2.19909129497889,2.4858157041086306,-7.078489592097367
-2.19594962378352,2.541103625854754,-7.311547678351717
-2.1928079525881508,2.5981498389212123,-7.559895546069763
-2.189666281392781,2.656422223054561,-7.825214092437592
-2.186524610197411,2.715075806183008,-8.109462106316949
-2.1833829390020414,2.772831098633215,-8.414930718179141
-2.1802412678066716,2.82781250628854,-8.74430393423471
-2.1770995966113023,2.8773351161644163,-9.100720746969264
-2.1739579254159325,2.91762501194576,-9.48782905194498
-2.1708162542205627,2.943454733299108,-9.909812613667858
-2.1676745830251933,2.947672324030419,-10.371357525466905
-2.1645329118298235,2.9206017783420135,-10.877501087662871
-2.1613912406344538,2.849299597254805,-11.433270181740113
-2.158249569439084,2.7166770085176104,-12.042964842007478
-2.155107898243714,2.500559747044657,-12.708876660284542
-2.151966227048345,2.1728896756114313,-13.429165218585865
-2.148824555852975,1.6995187199084476,-14.194596944765474
-2.1456828846576053,1.0414370511906885,-14.98399537227948
-2.142541213462236,0.158754277204334,-15.758775450912474
-2.139399542266866,-0.9810073410512902,-16.458107355300577
-2.1362578710714963,-2.3895297035184684,-16.998097072935515
-2.1331161998761266,-4.041329463466402,-17.279927396398808
-2.1299745286807568,-5.8615292396608405,-17.210611439304106
-2.1268328574853874,-7.72866224133588,-16.733153984545826
-2.1236911862900176,-9.4993122046689,-15.852642759340837
-2.120549515094648,-11.047427045030622,-14.641137286843938
-2.1174078438992785,-12.298224656760997,-13.215570980516125
