K,theta_rad,S_mag_dB
0.05,0.03598280552387933,-2.2012427451082037
0.05,0.03613989201088316,-2.1871495397044645
0.05,0.036296978497887,-2.173193921182456
0.05,0.036454064984890844,-2.1593742015256483
0.05,0.036611151471894685,-2.1456887172795955
0.05,0.036768237958898525,-2.1321358291401684
0.05,0.036925324445902366,-2.118713921549788
0.05,0.03708241093290621,-2.1054214023014377
0.05,0.03723949741991005,-2.0922567021500464
0.05,0.03739658390691388,-2.079218274431444
0.05,0.03755367039391772,-2.066304594688346
0.05,0.03771075688092156,-2.0535141603035916
0.05,0.037867843367925404,-2.0408454901401374
0.05,0.038024929854929244,-2.0282971241878407
0.05,0.038182016341933085,-2.0158676232168986
0.05,0.038339102828936926,-2.0035555684377813
0.05,0.03849618931594076,-1.9913595611673411
0.05,0.0386532758029446,-1.9792782225013075
0.05,0.03881036228994844,-1.9673101929927035
0.05,0.03896744877695228,-1.9554541323362717
0.05,0.03912453526395612,-1.9437087190586901
0.05,0.039281621750959964,-1.9320726502144687
0.05,0.039438708237963804,-1.920544641087417
0.05,0.039595794724967645,-1.9091234248975502
0.05,0.03975288121197148,-1.8978077525133727
0.05,0.03990996769897532,-1.8865963921693725
0.05,0.04006705418597916,-1.875488129188598
0.05,0.040224140672983,-1.8644817657102994
0.05,0.04038122715998684,-1.8535761204224324
0.05,0.04053831364699068,-1.8427700282990607
0.05,0.04069540013399452,-1.8320623403423713
0.05,0.04085248662099836,-1.8214519233293325
0.05,0.0410095731080022,-1.8109376595629545
0.05,0.04116665959500604,-1.800518446627846
0.05,0.04132374608200988,-1.7901931971502552
0.05,0.04148083256901372,-1.7799608385622514
0.05,0.04163791905601756,-1.7698203128701582
0.05,0.0417950055430214,-1.7597705764270124
0.05,0.04195209203002524,-1.7498105997091118
0.05,0.042109178517029076,-1.739939367096377
0.05,0.04226626500403292,-1.7301558766566432
0.05,0.04242335149103676,-1.7204591399337634
0.05,0.0425804379780406,-1.710848181739253
0.05,0.04273752446504444,-1.7013220399477238
0.05,0.04289461095204828,-1.6918797652958522
0.05,0.04305169743905212,-1.6825204211846765
0.05,0.043208783926055955,-1.6732430834855432
0.05,0.043365870413059796,-1.664046840349256
0.05,0.043522956900063636,-1.654930792018514
0.05,0.04368004338706748,-1.6458940506436655
0.05,0.04383712987407132,-1.6369357401015494
0.05,0.04399421636107516,-1.6280549958174297
0.05,0.044151302848079,-1.6192509645900386
0.05,0.04430838933508284,-1.6105228044195563
0.05,0.044465475822086674,-1.6018696843385145
0.05,0.044622562309090515,-1.593290784245605
0.05,0.044779648796094355,-1.5847852947422463
0.05,0.044936735283098196,-1.576352416972012
0.05,0.04509382177010204,-1.5679913624626445
0.05,0.04525090825710588,-1.5597013529708528
0.05,0.04540799474410972,-1.5514816203296409
0.05,0.04556508123111355,-1.5433314062982153
0.05,0.04572216771811739,-1.535249962414418
0.05,0.045879254205121234,-1.5272365498496399
0.05,0.046036340692125075,-1.5192904392661073
0.05,0.046193427179128915,-1.5114109106766054
0.05,0.046350513666132756,-1.5035972533064743
0.05,0.0465076001531366,-1.4958487654579429
0.05,0.04666468664014044,-1.4881647543766836
0.05,0.04682177312714427,-1.4805445361205805
0.05,0.04697885961414811,-1.4729874354306547
0.05,0.04713594610115195,-1.4654927856041147
0.05,0.047293032588155794,-1.4580599283695352
0.05,0.047450119075159634,-1.4506882137640038
0.05,0.047607205562163475,-1.443377000012345
0.05,0.047764292049167316,-1.4361256534083187
0.05,0.04792137853617115,-1.428933548197662
0.05,0.04807846502317499,-1.4218000664632104
0.05,0.04823555151017883,-1.4147245980117098
0.05,0.04839263799718267,-1.4077065402625601
0.05,0.04854972448418651,-1.4007452981383564
0.05,0.048706810971190354,-1.3938402839571777
0.05,0.048863897458194194,-1.3869909173266106
0.05,0.049020983945198035,-1.3801966250395095
0.05,0.04917807043220187,-1.3734568409713845
0.05,0.04933515691920571,-1.3667710059795253
0.05,0.04949224340620955,-1.3601385678035902
0.05,0.04964932989321339,-1.3535589809679869
0.05,0.04980641638021723,-1.3470317066856219
0.05,0.04996350286722107,-1.3405562127633106
0.05,0.05012058935422491,-1.334131973508618
0.05,0.050277675841228754,-1.3277584696382374
0.05,0.05043476232823259,-1.321435188187773
0.05,0.05059184881523643,-1.3151616224229967
0.05,0.05074893530224027,-1.3089372717524514
0.05,0.05090602178924411,-1.3027616416414824
0.05,0.05106310827624795,-1.296634243527598
0.05,0.05122019476325179,-1.2905545947372
0.05,0.05137728125025563,-1.284522218403524
0.05,0.051534367737259466,-1.2785366433859875
0.05,0.05169145422426331,-1.2725974041907158
0.05,0.05184854071126715,-1.2667040408923436
0.05,0.05200562719827099,-1.260856099057024
0.05,0.05216271368527483,-1.2550531296666412
0.05,0.05231980017227867,-1.2492946890441825
0.05,0.05247688665928251,-1.2435803387803173
0.05,0.05263397314628635,-1.2379096456610466
0.05,0.052791059633290185,-1.232282181596529
0.05,0.052948146120294026,-1.2266975235509516
0.05,0.05310523260729787,-1.2211552534735401
0.05,0.05326231909430171,-1.2156549582305756
0.05,0.05341940558130555,-1.2101962295384814
0.05,0.05357649206830939,-1.204778663897958
0.05,0.05373357855531323,-1.1994018625290555
0.05,0.053890665042317064,-1.1940654313073389
0.05,0.054047751529320905,-1.1887689807009167
0.05,0.054204838016324745,-1.1835121257085321
0.05,0.054361924503328586,-1.1782944857985025
0.05,0.05451901099033243,-1.1731156848486681
0.05,0.05467609747733627,-1.1679753510871986
0.05,0.05483318396434011,-1.162873117034284
0.05,0.05499027045134395,-1.1578086194447827
0.05,0.05514735693834778,-1.1527814992516285
0.05,0.055304443425351624,-1.147791401510179
0.05,0.055461529912355464,-1.1428379753433622
0.05,0.055618616399359305,-1.137920873887647
0.05,0.055775702886363146,-1.1330397542397987
0.05,0.05593278937336699,-1.1281942774044924
0.05,0.05608987586037083,-1.123384108242669
0.05,0.05624696234737466,-1.118608915420632
0.05,0.0564040488343785,-1.1138683713599988
0.05,0.05656113532138234,-1.109162152188262
0.05,0.056718221808386184,-1.1044899376902002
0.05,0.056875308295390024,-1.0998514112599558
0.05,0.057032394782393865,-1.0952462598538122
0.05,0.057189481269397706,-1.0906741739436911
0.05,0.05734656775640155,-1.0861348474713566
0.05,0.05750365424340538,-1.0816279778032172
0.05,0.05766074073040922,-1.0771532656858704
0.05,0.05781782721741306,-1.0727104152022644
0.05,0.0579749137044169,-1.0682991337285006
0.05,0.058132000191420743,-1.0639191318912864
0.05,0.058289086678424584,-1.0595701235259802
0.05,0.058446173165428425,-1.0552518256352612
0.05,0.05860325965243226,-1.0509639583484391
0.05,0.0587603461394361,-1.0467062448812567
0.05,0.05891743262643994,-1.0424784114964007
0.05,0.05907451911344378,-1.0382801874644934
0.05,0.05923160560044762,-1.0341113050256605
0.05,0.05938869208745146,-1.0299714993516997
0.05,0.0595457785744553,-1.025860508508768
0.05,0.059702865061459144,-1.0217780734205602
0.05,0.05985995154846298,-1.0177239378320984
0.05,0.06001703803546682,-1.0136978482739873
0.05,0.06017412452247066,-1.009699554027223
0.05,0.0603312110094745,-1.0057288070884143
0.05,0.06048829749647834,-1.0017853621356236
0.05,0.06064538398348218,-0.9978689764946138
0.05,0.06080247047048602,-0.9939794101056008
0.05,0.060959556957489856,-0.9901164254904635
0.05,0.0611166434444937,-0.9862797877204467
0.05,0.06127372993149754,-0.9824692643842846
0.05,0.06143081641850138,-0.9786846255568267
0.05,0.06158790290550522,-0.9749256437680337
0.05,0.06174498939250906,-0.9711920939725005
0.05,0.0619020758795129,-0.9674837535193124
0.05,0.06205916236651674,-0.9638004021224065
0.05,0.062216248853520575,-0.9601418218313045
0.05,0.062373335340524416,-0.9565077970022453
0.05,0.06253042182752826,-0.9528981142698035
0.05,0.0626875083145321,-0.9493125625187508
0.05,0.06284459480153592,-0.9457509328564939
0.05,0.06300168128853977,-0.9422130185857422
0.05,0.0631587677755436,-0.9386986151776476
0.05,0.06331585426254745,-0.9352075202452759
0.05,0.06347294074955129,-0.9317395335174656
0.05,0.06363002723655513,-0.9282944568130176
0.05,0.06378711372355897,-0.9248720940153004
0.05,0.06394420021056281,-0.9214722510471398
0.05,0.06410128669756665,-0.918094735846086
0.05,0.06425837318457049,-0.9147393583400422
0.05,0.06441545967157433,-0.9114059304231756
0.05,0.06457254615857817,-0.9080942659322032
0.05,0.06472963264558201,-0.9048041806229783
0.05,0.06488671913258585,-0.9015354921474112
0.05,0.0650438056195897,-0.8982880200307057
0.05,0.06520089210659352,-0.8950615856488604
0.05,0.06535797859359736,-0.8918560122065865
0.05,0.0655150650806012,-0.8886711247153676
0.05,0.06567215156760504,-0.8855067499719691
0.05,0.06582923805460889,-0.882362716537135
0.05,0.06598632454161273,-0.8792388547146384
0.05,0.06614341102861657,-0.8761349965305525
0.05,0.06630049751562041,-0.8730509757128597
0.05,0.06645758400262425,-0.8699866276713174
