M_dB,seq,re,im,mag_dB,phase_deg
-12,115,0.21108182969194766,0.22631824130442868,-10.187456393185432,46.995036809241256
-12,116,0.20909862046441507,0.22756566963180472,-10.199585800877893,47.42166320318434
-12,117,0.2071045860943227,0.22879571971330576,-10.211815665800216,47.848784659957865
-12,118,0.2050998788578008,0.23000829761511132,-10.224145804913626,48.276406666695394
-12,119,0.2030846518460222,0.23120331073767883,-10.236576030489683,48.704534741647855
-12,120,0.2010590589535114,0.232380667822815,-10.24910615001048,49.133174434395336
-12,121,0.19902325486639205,0.2335402789606448,-10.261735966067072,49.56233132605461
-12,122,0.19697739505057454,0.23468205559647762,-10.274465276256175,49.99201102948203
-12,123,0.19492163573988341,0.23580591053756972,-10.287293873075114,50.42221918947175
-12,124,0.19285613392412648,0.23691175795978286,-10.300221543814953,50.85296148294915
-12,125,0.19078104733710644,0.23799951341413828,-10.31324807045183,51.2842436191589
-12,126,0.18869653444457496,0.23906909383326572,-10.326373229536463,51.716071339847865
-12,127,0.18660275443213178,0.24012041753774688,-10.339596792081778,52.14845041944227
-12,128,0.184499867193068,0.24115340424235313,-10.352918523448674,52.58138666521924
-12,129,0.18238803331615586,0.24216797506217633,-10.366338183229884,53.01488591747209
-12,130,0.18026741407338515,0.24316405251865308,-10.379855525131909,53.4489540496694
-12,131,0.17813817140764765,0.24414156054548136,-10.393470296854993,53.88359696860756
-12,132,0.17600046792037022,0.2451004244944295,-10.407182239971144,54.31882061455639
-12,133,0.17385446685909745,0.24604057114103667,-10.42099108980018,54.75463096139772
-12,134,0.17170033210502525,0.24696192869020467,-10.434896575283702,55.19103401675667
-12,135,0.16953822816048592,0.24786442678168083,-10.448898418857093,55.628035822125085
-12,136,0.16736832013638575,0.2487479964954309,-10.462996336319438,56.06564245297716
-12,137,0.16519077373959626,0.24961257035690235,-10.477190036701348,56.50386001887675
-12,138,0.1630057552602997,0.25045808234217704,-10.491479222130708,56.9426946635761
-12,139,0.16081343155929034,0.2512844678830133,-10.50586358769629,57.38215256510569
-12,140,0.15861397005523187,0.2520916638717764,-10.520342821309232,57.82223993585483
-12,141,0.15640753871187238,0.2528796086662584,-10.53491660356234,58.262963022642744
-12,142,0.1541943060252176,0.253648242094385,-10.549584607587235,58.704328106779585
-12,143,0.15197444101066382,0.2543975054588109,-10.564346498909252,59.146341504117416
