branch,sign,K,re,im,mag
0,pos,1.8006002000666887,-1.2081456744303374,1.7575817380337204,2.1327703900125696
0,pos,1.8206068689563186,-1.2174906797025884,1.7631615223796402,2.142667055135436
0,pos,1.8406135378459485,-1.2268465544176754,1.7686717232872868,2.1525222723220643
0,pos,1.8606202067355784,-1.2362130404665006,1.77411286841192,2.162336502786789
0,pos,1.8806268756252082,-1.2455898875478773,1.7794854749023443,2.1721102005538198
0,pos,1.9006335445148381,-1.2549768528880922,1.78479004960034,2.1818438125670876
0,pos,1.920640213404468,-1.2643737009718294,1.790027089236399,2.1915377788003876
0,pos,1.9406468822940979,-1.2737802032839625,1.795197080621635,2.2011925323675285
0,pos,1.9606535511837277,-1.283196138061764,1.8003005008359387,2.210808499632376
0,pos,1.9806602200733576,-1.292621290057029,1.8053378174123214,2.220386100318542
0,pos,2.0006668889629875,-1.3020554503077455,1.8103094885174753,2.2299257476186307
0,pos,2.0206735578526174,-1.311498415918833,1.81521596312855,2.2394278483028467
0,pos,2.0406802267422472,-1.3209499898515908,1.820057681206159,2.248892802826862
0,pos,2.060686895631877,-1.3304099807214893,1.8248350738636578,2.2583210054388494
0,pos,2.080693564521507,-1.339878202603898,1.8295485635327005,2.2677128442855414
0,pos,2.100700233411137,-1.3493544748474535,1.8341985641251206,2.27706870151726
0,pos,2.1207069023007667,-1.3588386218947117,1.8387854811911881,2.286388953391839
0,pos,2.1407135711903966,-1.3683304731097932,1.843309712074252,2.2956739703773557
0,pos,2.1607202400800265,-1.3778298626126722,1.84777164606183,2.3049241172536026
0,pos,2.1807269089696564,-1.3873366291199152,1.8521716645332125,2.314139753212312
0,pos,2.2007335778592862,-1.396850615791489,1.8565101411035907,2.323321231955998
0,pos,2.220740246748916,-1.4063716700834634,1.860787441764785,2.332468901795452
0,pos,2.240746915638546,-1.4158996436063203,1.865003925022648,2.3415831057458516
0,pos,2.260753584528176,-1.425434391988623,1.8691599420311202,2.350664181621389
0,pos,2.2807602534178057,-1.4349757747458658,1.8732558367231018,2.3597124621285253
0,pos,2.3007669223074356,-1.4445236551542169,1.8772919459380932,2.3687282749577108
0,pos,2.3207735911970655,-1.4540779001290434,1.881268599546736,2.3777119428737
0,pos,2.3407802600866954,-1.4636383801078934,1.8851861205722649,2.3866637838043223
0,pos,2.3607869289763252,-1.4732049689378972,1.8890448253089585,2.3955841109278264
0,pos,2.380793597865955,-1.482777543767276,1.892845023437629,2.4044732327587086
0,pos,2.400800266755585,-1.492355984940862,1.8965870181381848,2.4133314532320465
0,pos,2.420806935645215,-1.5019401758994402,1.9002711061993947,2.4221590717863912
0,pos,2.4408136045348447,-1.511530003082767,1.9038975781258243,2.4309563834451593
0,pos,2.4608202734244746,-1.5211253558360973,1.9074667182420535,2.4397236788965677
0,pos,2.4808269423141045,-1.5307261263200918,1.9109788047942202,2.448461244572121
0,pos,2.5008336112037344,-1.5403322094239749,1.9144341100489208,2.4571693627236497
0,pos,2.5208402800933642,-1.5499435026817832,1.9178329003895693,2.4658483114989336
0,pos,2.540846948982994,-1.559559906191612,1.9211754364102038,2.4744983650158927
0,pos,2.560853617872624,-1.569181322537722,1.9244619730068484,2.4831197934353963
0,pos,2.580860286762254,-1.5788076567153935,1.927692759466463,2.4917128630326926
0,pos,2.6008669556518837,-1.5884388160584284,1.9308680395534987,2.5002778362674563
0,pos,2.6208736245415136,-1.5980747101691737,1.9339880515941714,2.5088149718525097
0,pos,2.6408802934311435,-1.60771525085101,1.9370530285584433,2.5173245248212166
0,pos,2.6608869623207734,-1.6173603520431459,1.9400631981397956,2.525806746593559
0,pos,2.6808936312104032,-1.6270099297576879,1.9430187828328087,2.5342618850409298
0,pos,2.700900300100033,-1.6366639020188596,1.9459200000086307,2.542690184549661
0,pos,2.720906968989663,-1.646322188804309,1.9487670619883581,2.5510918860833196
0,pos,2.740913637879293,-1.6559847119883906,1.9515601761143377,2.559467227243728
0,pos,2.7609203067689227,-1.6656513952873993,1.9542995448195233,2.5678164423308485
0,pos,2.7809269756585526,-1.6753221642066296,1.9569853656948306,2.5761397624014335
0,pos,2.8009336445481825,-1.6849969459892247,1.9596178315545667,2.5844374153265224
0,pos,2.8209403134378124,-1.6946756695667062,1.962197130500016,2.5927096258478044
0,pos,2.8409469823274422,-1.7043582655112024,1.9647234459811251,2.6009566156328523
0,pos,2.860953651217072,-1.7140446659892024,1.9671969568564336,2.609178603329264
0,pos,2.880960320106702,-1.7237348047168612,1.9696178374511932,2.617375804617707
0,pos,2.900966988996332,-1.7334286169167759,1.9719862576137577,2.6255484322639187
0,pos,2.9209736578859617,-1.743126039276159,1.9743023827702808,2.633696696169663
0,pos,2.9409803267755916,-1.7528270099063796,1.9765663739777195,2.641820803422664
0,pos,2.9609869956652215,-1.7625314683038014,1.9787783879752108,2.6499209583455365
0,pos,2.9809936645548514,-1.7722393553119031,1.9809385772338293,2.6579973625437514
0,pos,3.0010003334444812,-1.781950613084602,1.9830470900047739,2.6660502149526346
0,pos,3.021007002334111,-1.7916651850507268,1.9851040703659806,2.674079711883406
0,pos,3.041013671223741,-1.8013830158796762,1.9871096582672372,2.682086047068344
0,pos,3.061020340113371,-1.8111040514480883,1.9890639895737652,2.690069411704981
0,pos,3.0810270090030007,-1.8208282388076253,1.9909671961083686,2.6980299944994863
0,pos,3.1010336778926306,-1.830555526153732,1.9928194056920963,2.705967981709127
0,pos,3.1210403467822605,-1.8402858627953749,1.994620742183499,2.7138835571839057
0,pos,3.1410470156718904,-1.8500191991257313,1.9963713255164954,2.721776902407378
