alpha,K_lower_exact,K_upper_exact
-1.593922305764411,-0.7030388471177945,0.0
-1.5864085213032582,-0.7067957393483709,0.0
-1.5788947368421051,-0.7105526315789474,0.0
-1.5713809523809523,-0.7143095238095238,0.0
-1.5638671679197995,-0.7180664160401002,0.0
-1.5563533834586465,-0.7218233082706768,0.0
-1.5488395989974937,-0.7255802005012532,0.0
-1.5413258145363409,-0.7293370927318296,0.0
-1.5338120300751878,-0.7330939849624061,0.0
-1.526298245614035,-0.7368508771929825,0.0
-1.5187844611528822,-0.7406077694235589,0.0
-1.5112706766917292,-0.7443646616541354,0.0
-1.5037568922305764,-0.7481215538847118,0.0
-1.4962431077694234,-0.7518784461152883,0.0
-1.4887293233082706,-0.7556353383458647,0.0
-1.4812155388471178,-0.7593922305764411,0.0
-1.4737017543859647,-0.7631491228070176,0.0
-1.466187969924812,-0.766906015037594,0.0
-1.4586741854636591,-0.7706629072681704,0.0
-1.451160401002506,-0.774419799498747,0.0
-1.4436466165413533,-0.7781766917293234,0.0
-1.4361328320802005,-0.7819335839598998,0.0
-1.4286190476190475,-0.7856904761904763,0.0
-1.4211052631578946,-0.7894473684210527,0.0
-1.4135914786967418,-0.7932042606516291,0.0
-1.4060776942355888,-0.7969611528822056,0.0
-1.398563909774436,-0.800718045112782,0.0
-1.3910501253132832,-0.8044749373433584,0.0
-1.3835363408521302,-0.8082318295739349,0.0
-1.3760225563909774,-0.8119887218045113,0.0
-1.3685087719298246,-0.8157456140350877,0.0
-1.3609949874686715,-0.8195025062656642,0.0
-1.3534812030075187,-0.8232593984962406,0.0
-1.345967418546366,-0.827016290726817,0.0
-1.338453634085213,-0.8307731829573936,0.0
-1.33093984962406,-0.83453007518797,0.0
-1.323426065162907,-0.8382869674185465,0.0
-1.3159122807017543,-0.8420438596491229,0.0
-1.3083984962406014,-0.8458007518796993,0.0
-1.3008847117794484,-0.8495576441102758,0.0
-1.2933709273182956,-0.8533145363408522,0.0
-1.2858571428571428,-0.8570714285714286,0.0
-1.2783433583959898,-0.8608283208020051,0.0
-1.270829573934837,-0.8645852130325815,0.0
-1.2633157894736842,-0.8683421052631579,0.0
-1.2558020050125311,-0.8720989974937344,0.0
-1.2482882205513783,-0.8758558897243108,0.0
-1.2407744360902255,-0.8796127819548872,0.0
-1.2332606516290725,-0.8833696741854637,0.0
-1.2257468671679197,-0.8871265664160402,0.0
-1.218233082706767,-0.8908834586466166,0.0
-1.2107192982456139,-0.8946403508771931,0.0
-1.203205513784461,-0.8983972431077695,0.0
-1.1956917293233082,-0.9021541353383459,0.0
-1.1881779448621552,-0.9059110275689224,0.0
-1.1806641604010024,-0.9096679197994988,0.0
-1.1731503759398496,-0.9134248120300752,0.0
-1.1656365914786966,-0.9171817042606517,0.0
-1.1581228070175438,-0.9209385964912281,0.0
-1.1506090225563907,-0.9246954887218046,0.0
-1.143095238095238,-0.928452380952381,0.0
-1.1355814536340851,-0.9322092731829574,0.0
-1.128067669172932,-0.935966165413534,0.0
-1.1205538847117793,-0.9397230576441103,0.0
-1.1130401002506265,-0.9434799498746868,0.0
-1.1055263157894735,-0.9472368421052633,0.0
-1.0980125313283207,-0.9509937343358397,0.0
-1.0904987468671679,-0.9547506265664161,0.0
-1.0829849624060148,-0.9585075187969926,0.0
-1.075471177944862,-0.962264411027569,0.0
-1.0679573934837092,-0.9660213032581454,0.0
-1.0604436090225562,-0.9697781954887219,0.0
-1.0529298245614034,-0.9735350877192983,0.0
-1.0454160401002506,-0.9772919799498747,0.0
-1.0379022556390975,-0.9810488721804512,0.0
-1.0303884711779447,-0.9848057644110276,0.0
-1.022874686716792,-0.988562656641604,0.0
-1.015360902255639,-0.9923195488721805,0.0
-1.007847117794486,-0.996076441102757,0.0
-1.0003333333333333,-0.9998333333333334,0.0
-0.9928195488721805,-1.0035902255639098,0.0
-0.9853057644110272,-1.0073471177944864,0.0
-0.9777919799498744,-1.0111040100250628,0.0
-0.9702781954887216,-1.0148609022556392,0.0
-0.9627644110275688,-1.0186177944862156,0.0
-0.955250626566416,-1.022374686716792,0.0
-0.9477368421052632,-1.0261315789473684,0.0
-0.94022305764411,-1.029888471177945,0.0
-0.9327092731829572,-1.0336453634085214,0.0
-0.9251954887218043,-1.0374022556390978,0.0
-0.9176817042606515,-1.0411591478696742,0.0
-0.9101679197994987,-1.0449160401002506,0.0
-0.9026541353383459,-1.048672932330827,0.0
-0.8951403508771927,-1.0524298245614037,0.0
-0.8876265664160399,-1.05618671679198,0.0
-0.8801127819548871,-1.0599436090225565,0.0
-0.8725989974937343,-1.0637005012531329,0.0
-0.8650852130325815,-1.0674573934837093,0.0
-0.8575714285714282,-1.071214285714286,0.0
-0.8500576441102754,-1.0749711779448623,0.0
-0.8425438596491226,-1.0787280701754387,0.0
-0.8350300751879698,-1.082484962406015,0.0
-0.827516290726817,-1.0862418546365915,0.0
-0.8200025062656642,-1.089998746867168,0.0
-0.8124887218045109,-1.0937556390977445,0.0
-0.8049749373433581,-1.097512531328321,0.0
-0.7974611528822053,-1.1012694235588973,0.0
-0.7899473684210525,-1.1050263157894737,0.0
-0.7824335839598997,-1.1087832080200501,0.0
-0.7749197994987469,-1.1125401002506266,0.0
-0.7674060150375936,-1.1162969924812032,0.0
-0.7598922305764408,-1.1200538847117796,0.0
