K,f_percent,pole_re,pole_im,dzdf_analytical_re,dzdf_analytical_im,dzdf_finitediff_re,dzdf_finitediff_im,relative_error
0.15,-10,-0.4826991260734045,-0.9031751913824609,-0.0054146103393749555,-0.007466061206252358,-0.005414610340648274,-0.007466061207606067,2.0150696750093458e-10
0.15,-10,0.91539825214681,0.0,0.0008292206787498996,-0.0,0.0008292206798987678,0.0,1.3854794602722656e-09
0.15,-5,-0.5097050200933148,0.9407213288250227,-0.005388094979928251,0.00755075627972956,-0.005388094976299662,0.007550756278562609,4.109086739121372e-10
0.15,-5,-0.5097050200933148,-0.9407213288250227,-0.005388094979928251,-0.00755075627972956,-0.005388094976299662,-0.007550756278562609,4.109086739121372e-10
0.15,-5,0.9194100401866293,0.0,0.0007761899598565012,-0.0,0.0007761899584179943,0.0,1.8532922868192107e-09
0.15,-2,-0.5258467229610178,0.9634439164666826,-0.005373157375971873,0.007597114664112869,-0.005373157380139659,0.007597114669577465,7.385723188447815e-10
0.15,-2,-0.5258467229610178,-0.9634439164666826,-0.005373157375971873,-0.007597114664112869,-0.005373157380139659,-0.007597114669577465,7.385723188447815e-10
0.15,-2,0.9216934459220361,0.0,0.0007463147519437398,-0.0,0.0007463147527753122,0.0,1.1142382472667226e-09
0.2,-25,-0.4119535699118462,0.838339184507397,-0.005635188745238173,0.006711522262475815,-0.005635188747299402,0.006711522266278358,4.935525513938813e-10
0.2,-25,-0.4119535699118462,-0.838339184507397,-0.005635188745238173,-0.006711522262475815,-0.005635188747299402,-0.006711522266278358,4.935525513938813e-10
0.2,-25,0.8739071398236932,0.0,0.0012703774904763365,-0.0,0.0012703774932010248,0.0,2.1447863599120235e-09
0.2,-15,-0.4678999723706705,0.9069184942409956,-0.005556116728131984,0.006993258017015234,-0.005556116728644422,0.0069932580182285875,1.474655907777993e-10
0.2,-15,-0.4678999723706705,-0.9069184942409956,-0.005556116728131984,-0.006993258017015234,-0.005556116728644422,-0.0069932580182285875,1.474655907777993e-10
0.2,-15,0.8857999447413423,0.0,0.0011122334562639568,-0.0,0.0011122334547808421,0.0,1.3334562281140659e-09
0.2,-10,-0.49559143504827236,0.9421859288218869,-0.005520920781339798,0.007111501588861037,-0.005520920783319561,0.00711150159482532,6.98020215356428e-10
0.2,-10,-0.49559143504827236,-0.9421859288218869,-0.005520920781339798,-0.007111501588861037,-0.005520920783319561,-0.00711150159482532,6.98020215356428e-10
0.2,-10,0.8911828700965435,0.0,0.0010418415626796097,-0.0,0.001041841563576007,0.0,8.603969689818678e-10
0.2,-5,-0.5231135311260029,0.9780129038021667,-0.005488335723798854,0.0072173714111262825,-0.005488335726444582,0.007217371413292817,3.7714515985436496e-10
0.2,-5,-0.5231135311260029,-0.9780129038021667,-0.005488335723798854,-0.0072173714111262825,-0.005488335726444582,-0.007217371413292817,3.7714515985436496e-10
0.2,-5,0.8962270622520062,0.0,0.0009766714475977017,-0.0,0.0009766714481607153,0.0,5.764616266927373e-10
0.2,-2,-0.5395507539252364,0.9997533579692475,-0.0054699538694591866,0.007275648447562045,-0.005469953872072608,0.0072756484514879816,5.181263309825897e-10
0.2,-2,-0.5395507539252364,-0.9997533579692475,-0.0054699538694591866,-0.007275648447562045,-0.005469953872072608,-0.0072756484514879816,5.181263309825897e-10
0.2,-2,0.899101507850472,0.0,0.0009399077389183872,-0.0,0.0009399077399718792,0.0,1.1208461059398654e-09
