omega,uncompensated_dB,compensated_2nd_dB,filter1_dB,filter2_dB,compensated_1st_dB
-9.385191914031813,-1.3868953494838323,-79.06656626939076,-38.840402670163456,-77.67967091990792,-40.227298019647286
-9.384249389109488,-1.3857042037061835,-78.65649919123503,-38.63599203927204,-77.27079498752884,-40.02169624297822
-9.383306864187166,-1.384485059955037,-78.25579931311242,-38.43627965092411,-76.8713142531574,-39.820764710879146
-9.38236433926484,-1.3832379202268033,-77.8640442106685,-38.24105429196824,-76.4808062904417,-39.624292212195044
-9.381421814342518,-1.3819627865608028,-77.48083931651915,-38.050118677718444,-76.09887652995835,-39.43208146427925
-9.380479289420196,-1.380659661039083,-77.10581552346235,-37.86328825355907,-75.72515586242328,-39.24394791459815
-9.379536764497873,-1.3793285457862128,-76.7386270400646,-37.6803901227369,-75.35929849427839,-39.05971866852312
-9.37859423957555,-1.3779694429690703,-76.37894946735068,-37.50126208470805,-75.0009800243816,-38.87923152767712
-9.377651714653227,-1.3765823547966314,-76.0264780698173,-37.32575177064487,-74.64989571502068,-38.7023341254415
-9.376709189730905,-1.3751672835197335,-75.68092621767157,-37.15371586455352,-74.30575893415318,-38.528883148073255
-9.37576666480858,-1.3737242314308946,-75.34202398033489,-36.98501940002592,-73.968299748904,-38.35874363145681
-9.374824139886258,-1.372253200864029,-75.00951685391959,-36.819535123982035,-73.63726365305556,-38.191788324846065
-9.373881614963937,-1.3707541941942551,-74.68316460766334,-36.65714291988362,-73.31241041346969,-38.027897114077874
-9.372939090041612,-1.3692272138376549,-74.36274023621196,-36.497729283874705,-72.9935130223743,-37.86695649771236
-9.371996565119288,-1.367672262251012,-74.04802900630308,-36.341186848127336,-72.68035674405208,-37.70885911037835
-9.371054040196965,-1.3660893419316,-73.73882758783016,-36.18741394637192,-72.37273824589856,-37.55350328830352
-9.370111515274642,-1.364478455416899,-73.43494326048113,-36.036314217215015,-72.07046480506423,-37.400792672631916
-9.36916899035232,-1.362839605284363,-73.13619318818847,-35.88779624136778,-71.77335358290411,-37.250635846652145
-9.368226465429997,-1.3611727941511549,-72.84240375456915,-35.74177320936297,-71.48123096041799,-37.10294600351412
-9.367283940507672,-1.3594780246738882,-72.55340995328476,-35.598162616737106,-71.19393192861087,-36.957640641411
-9.36634141558535,-1.3577552995483586,-72.26905482798016,-35.45688598399941,-70.9112995284318,-36.81464128354777
-9.365398890663029,-1.3560046215092725,-71.98918895702697,-35.31786859900389,-70.63318433551858,-36.67387322051316
-9.364456365740704,-1.3542259933299623,-71.71366997884962,-35.18103927961059,-70.35944398551968,-36.53526527294055
-9.36351384081838,-1.3524194178221374,-71.44236215404652,-35.04633015475002,-70.08994273622437,-36.39874957257216
-9.36257131589606,-1.350584897835567,-71.17513596094643,-34.913676462198985,-69.82455106311127,-36.26426136003455
-9.361628790973734,-1.348722436257804,-70.91186772157289,-34.783016361561536,-69.56314528531509,-36.13173879781934
-9.360686266051411,-1.3468320360139026,-70.6524392553237,-34.65429076111283,-69.3056072193098,-36.00112279712673
-9.359743741129089,-1.3449137000661104,-70.39673755792441,-34.527443157273126,-69.0518238578583,-35.872356857339234
-9.358801216206766,-1.3429674314135758,-70.14465450348962,-34.40241948563891,-68.80168707207604,-35.745386917052485
-9.357858691284443,-1.3409932330920364,-69.8960865677098,-34.2791679825775,-68.55509333461777,-35.62016121566953
-9.35691616636212,-1.3389911081735102,-69.65093457040226,-34.15763905650181,-68.3119434622291,-35.49663016467532
-9.355973641439796,-1.3369610597659995,-69.40910343581726,-34.03778516802335,-68.07214237605126,-35.374746227789345
-9.355031116517472,-1.3349030910131454,-69.17050196925015,-33.91956071825977,-67.83559887823701,-35.25446380927291
-9.35408859159515,-1.332817205093935,-68.93504264865038,-33.80292194463832,-67.60222544355643,-35.13573914973226
-9.353146066672828,-1.3307034052223514,-68.70264143002802,-33.68782682359938,-67.37193802480567,-35.01853022882173
-9.352203541750503,-1.3285616946470635,-68.47321756558517,-33.57423497966269,-67.14465587093811,-34.902796674309755
-9.35126101682818,-1.3263920766510793,-68.24669343357822,-33.462107600358905,-66.92030135692714,-34.78849967700999
-9.350318491905858,-1.3241945545514269,-68.02299437901864,-33.35140735657922,-66.69879982446722,-34.67560191113065
-9.349375966983535,-1.3219691316987796,-67.80204856439319,-33.242098327936596,-66.48007943269441,-34.564067459635375
-9.348433442061213,-1.3197158114771494,-67.5837868296575,-33.13414593276237,-66.26407101818035,-34.453861744239525
-9.347490917138888,-1.3174345973034995,-67.36814256082013,-33.02751686239788,-66.05070796351663,-34.34495145970138
-9.346548392216564,-1.315125492627427,-67.15505156648962,-32.92217901946944,-65.83992607386168,-34.23730451209687
-9.345605867294244,-1.3127885009307785,-66.9444519618173,-32.81810145985922,-65.63166346088677,-34.13088996079
-9.34466334237192,-1.3104236257272976,-66.7362840593046,-32.715254338107826,-65.42586043357728,-34.02567796383512
-9.343720817449595,-1.3080308705622534,-66.53049026599973,-32.61360885601553,-65.222459395437,-33.92163972657779
-9.342778292527274,-1.3056102390120747,-66.32701498663492,-32.51313721420943,-65.02140474762284,-33.818747453221505
-9.34183576760495,-1.303161734683984,-66.1258045322997,-32.41381256647932,-64.82264279761571,-33.716974301163305
-9.340893242682627,-1.3006853612156153,-65.9268070342747,-32.31560897669694,-64.62612167305907,-33.61629433791256
-9.339950717760304,-1.2981811222746154,-65.72997236267747,-32.21850137813776,-64.43179124040286,-33.51668250041237
-9.339008192837982,-1.2956490215582788,-65.53525204960602,-32.12246553505321,-64.23960302804774,-33.418114556611485
-9.33806566791566,-1.2930890627931504,-65.34259921648093,-32.02747800634199,-64.04951015368799,-33.32056706913514
-9.337123142993336,-1.290501249734627,-65.15196850531389,-31.93351611118438,-63.86146725557947,-33.22401736091901
-9.336180618071012,-1.2878855861665777,-64.96331601365634,-31.840557896516813,-63.67543042748976,-33.128443482683394
-9.33523809314869,-1.2852420759009178,-64.77659923298374,-31.748582106224845,-63.49135715708282,-33.03382418212576
-9.334295568226366,-1.2825707227772207,-64.59177699031152,-31.657568151950088,-63.30920626753429,-32.94013887472731
-9.333353043304044,-1.2798715306623,-64.4088093928332,-31.56749608541042,-63.128937862170915,-32.84736761607272
-9.33241051838172,-1.277144503449795,-64.22765777539843,-31.478346572138925,-62.95051327194864,-32.75549107558872
-9.331467993459396,-1.2743896450597725,-64.04828465065887,-31.39010086655699,-62.773895005599094,-32.66449051161676
-9.330525468537074,-1.2716069594382828,-63.8706536617157,-31.302740788298383,-62.59904670227741,-32.57434774773667
-9.329582943614753,-1.2687964505569438,-63.69472953712632,-31.21624869971312,-62.42593308656972,-32.48504515027006
-9.328640418692428,-1.2659581224125112,-63.52047804812722,-31.130607484477775,-62.25451992571471,-32.396565606890285
-9.327697893770106,-1.2630919790264592,-63.34786596794209,-31.04580052725181,-62.084773988915636,-32.30889250627827
-9.32675536884778,-1.260198024444512,-63.17686103305622,-30.96181169431325,-61.91666300861138,-32.22200971875776
-9.325812843925458,-1.257276262736263,-63.00743190634588,-30.878625315125007,-61.75015564360962,-32.13590157786127
-9.324870319003136,-1.2543266979946532,-62.83954814195173,-30.79622616477005,-61.58522144395708,-32.050552862764704
-9.323927794080811,-1.251349334335592,-62.673180151804445,-30.714599447215896,-61.4218308174684,-31.96594878155149
-9.32298526915849,-1.2483441758974647,-62.5082991737054,-30.63373077935536,-61.25995499780794,-31.882074955252826
-9.322042744236166,-1.245311226840702,-62.344877240879335,-30.553606175781457,-61.09956601403863,-31.79891740262216
-9.321100219313845,-1.2422504913473078,-62.18288715291809,-30.47421203426126,-60.940636661570935,-31.716462525608566
-9.32015769439152,-1.2391619736204065,-62.02230244803599,-30.395535121862515,-60.78314047441559,-31.63469709548292
-9.319215169469198,-1.2360456778837732,-61.863097376573535,-30.317562561706914,-60.62705169868976,-31.553608239590687
-9.318272644546877,-1.232901608381355,-61.70524687567547,-30.24028182030856,-60.47234526729439,-31.473183428689914
